time,kinetic_energy,convective_wavelength_z05_2pi,convective_wavelength_z_weighted_2pi
5.4,6.9085458e-12,0.3186490530219827,0.30570269169652714
5.5,6.9728203e-12,0.3209317493237258,0.30745861830848686
5.6,7.04496835e-12,0.3230366949414473,0.30918417640090146
5.7,7.125116e-12,0.3249568935483077,0.31087904364636454
5.8,7.2132391e-12,0.32668336772914003,0.3125371127887577
5.9,7.3092093e-12,0.3282124405639026,0.31415509143897974
6.0,7.4133141e-12,0.32954234082265726,0.3157274221196267
6.1,7.5251248e-12,0.33067788833685324,0.3172478323268062
6.2,7.64504585e-12,0.33162193127439016,0.31871123959192343
6.3,7.77362945e-12,0.33238759269610074,0.32011528520721405
6.4,7.91204075e-12,0.3329882683530597,0.3214573836419241
6.5,8.0611773e-12,0.33343502796114144,0.32273529494049163
6.6,8.2214184e-12,0.3337402745281422,0.3239448395280502
6.7,8.3922843e-12,0.3339183205218732,0.32508330306854727
6.8,8.5731526e-12,0.33397936732199923,0.32614889611080716
6.9,8.7637254e-12,0.3339362238300875,0.32714035699122035
7.0,8.9636184e-12,0.33380189498308677,0.3280585333114847
7.1,9.1729711e-12,0.33359099107179185,0.32890574733688976
7.2,9.39148575e-12,0.3333140691041559,0.3296851230671703
7.3,9.6194339e-12,0.3329802510086078,0.3304002042188395
7.4,9.8568834e-12,0.3326047427219095,0.3310592682602211
7.5,1.010348535e-11,0.3321911382260567,0.33166476374862924
7.6,1.03595377e-11,0.3317529601924676,0.3322281851432649
7.7,1.06249644e-11,0.33129745564707536,0.33275690010721937
7.8,1.090005185e-11,0.3308277203152809,0.33325702532138907
7.9,1.11847103e-11,0.33035382048826484,0.33374186103243225
8.0,1.14789223e-11,0.3298785182542882,0.3342174422398365
8.1,1.17826767e-11,0.3294075137190617,0.3346947890223121
8.2,1.20964543e-11,0.3289423852187345,0.33518188919334
8.3,1.24202376e-11,0.3284875140184212,0.335687757867199
8.4,1.275373925e-11,0.32804358435700187,0.3362176729195471
8.5,1.30976347e-11,0.327613952083749,0.3367775989781964
8.6,1.34513973e-11,0.3272009627117378,0.3373723621577814
8.7,1.38157134e-11,0.32680516790463826,0.3380022112724402
8.8,1.4190397e-11,0.32642908407816584,0.3386683193928696
8.9,1.45758597e-11,0.3260706786218737,0.3393648444133711
9.0,1.497207645e-11,0.3257331936593803,0.3400881992634528
9.1,1.537913945e-11,0.3254125325538655,0.3408276327847356
9.2,1.579728125e-11,0.32511132356174316,0.34157546755309265
9.3,1.622654275e-11,0.32482797075394526,0.34231927102975657
9.4,1.666720555e-11,0.32456260544904475,0.3430470127998197
9.5,1.711931855e-11,0.32431492856742106,0.3437470991297534
9.6,1.758332675e-11,0.3240827202597051,0.34440676949851706
9.7,1.80593564e-11,0.3238669116939594,0.3450162573228694
9.8,1.85474956e-11,0.32366385799438724,0.3455649025506182
9.9,1.904807285e-11,0.3234742961786252,0.3460449919434804
10.0,1.956130745e-11,0.3232960861937577,0.34645100195325235
10.1,2.008712875e-11,0.32312738078330433,0.3467780021644236
10.2,2.062607345e-11,0.32296722867300964,0.34702403473645244
10.3,2.11782105e-11,0.3228146408895063,0.3471884726074452
10.4,2.17437803e-11,0.32266878616737804,0.3472719861932741
10.5,2.23235523e-11,0.3225292385066612,0.3472778534317139
10.6,2.29173761e-11,0.3223937328190524,0.34720812264117484
10.7,2.352568235e-11,0.32226135301613396,0.3470669237593592
10.8,2.414845985e-11,0.32213205323065314,0.3468592022814224
10.9,2.47862915e-11,0.3220047785157968,0.34659059548122195
11.0,2.54396108e-11,0.32187797692479403,0.34626564358846085
11.1,2.610867095e-11,0.32175306971416145,0.34589114940787113
11.2,2.67939407e-11,0.3216291898043266,0.34547267795667946
11.3,2.749555055e-11,0.3215047192750728,0.34501541349108267
11.4,2.821418035e-11,0.32137943004677355,0.34452450759471415
11.5,2.895003975e-11,0.32125419234059377,0.3440064156121586
11.6,2.970413505e-11,0.3211290966344019,0.3434666177376408
11.7,3.047589365e-11,0.32100367860080387,0.34290990489995765
11.8,3.126672315e-11,0.3208763542487836,0.34233939418733983
11.9,3.20765749e-11,0.320748880356953,0.34176098299751684
12.0,3.29062138e-11,0.32062080642092555,0.3411783865779607
12.1,3.37561514e-11,0.3204921362106125,0.3405944480700229
12.2,3.462675275e-11,0.32036229481455814,0.34001254908403583
12.3,3.55187618e-11,0.32023244462204437,0.33943530782331705
12.4,3.64328641e-11,0.3201023098012362,0.33886478140273596
12.5,3.736933525e-11,0.31997200721938035,0.3383033077955455
12.6,3.83288912e-11,0.3198404630801077,0.3377514920724907
12.7,3.931189075e-11,0.31970912502931326,0.3372112933307504
12.8,4.031951745e-11,0.3195782965448471,0.3366839468445558
12.9,4.13524286e-11,0.3194471821754496,0.3361694419324921
13.0,4.24110808e-11,0.31931578129280197,0.33566794698392544
13.1,4.349628845e-11,0.3191844262774072,0.33517973029086845
13.2,4.46085326e-11,0.31905346898764225,0.33470518203912875
13.3,4.57490483e-11,0.31892328767126277,0.3342443367862254
13.4,4.69187308e-11,0.3187933633371624,0.33379643615169186
13.5,4.811756225e-11,0.31866342769332845,0.33336129603819875
13.6,4.934704635e-11,0.31853489319981804,0.33293905530414125
13.7,5.06072475e-11,0.31840646426382074,0.33252871806464823
13.8,5.1899775e-11,0.31827870511537726,0.3321302013816736
13.9,5.32249075e-11,0.31815203107303625,0.33174308491012033
14.0,5.4584321e-11,0.31802634914565525,0.3313670808801013
14.1,5.5978626e-11,0.3179014519881191,0.33100154840671525
14.2,5.7408678e-11,0.3177775613968692,0.33064620034839354
14.3,5.88755135e-11,0.3176550505931128,0.33030114477592354
14.4,6.0380423e-11,0.3175335143113975,0.3299657879282938
14.5,6.19240955e-11,0.31741331571983405,0.3296400745134734
14.6,6.350804e-11,0.3172937115176007,0.3293231663545425
14.7,6.51323815e-11,0.3171766513770982,0.329016247203613
14.8,6.6799137e-11,0.3170608064046342,0.3287181647244995
14.9,6.8509302e-11,0.3169465297152228,0.32842871659863515
15.0,7.02637385e-11,0.3168340751495505,0.3281482056755517
15.1,7.2063907e-11,0.3167232535837395,0.3278764673357941
15.2,7.3911793e-11,0.3166144426372268,0.3276134362342353
15.3,7.5807187e-11,0.3165070089649335,0.32735881077798035
15.4,7.7752197e-11,0.3164017718942235,0.32711291894930244
15.5,7.97484035e-11,0.3162987358233267,0.32687530207567406
15.6,8.17968745e-11,0.31619748920360535,0.32664579239604746
15.7,8.3899554e-11,0.316097921450998,0.326424158060885
15.8,8.6056588e-11,0.31600021666283434,0.32621028031798416
15.9,8.82702435e-11,0.3159047468036844,0.3260042942558292
16.0,9.0542219e-11,0.31581132589126315,0.32580577701604885
16.1,9.287355e-11,0.3157196184034752,0.32561433275796886
16.2,9.52672035e-11,0.3156297675969454,0.3254295838621521
16.3,9.77238165e-11,0.31554175399379947,0.3252515309569172
16.4,1.00244943e-10,0.31545584211613886,0.32507998554670503
16.5,1.02832308e-10,0.3153715443887836,0.3249143683218302
16.6,1.05487841e-10,0.3152888413338593,0.32475443046815444
16.7,1.082141115e-10,0.3152081357035442,0.32460003626887524
16.8,1.11012063e-10,0.31512932194032506,0.3244506648479306
16.9,1.138838195e-10,0.31505168941594364,0.3243056049487437
17.0,1.16831903e-10,0.31497597514803655,0.32416492191644186
17.1,1.198575005e-10,0.31490184612778244,0.32402831227317463
17.2,1.229631155e-10,0.31482948645251085,0.3238955416561301
17.3,1.26151354e-10,0.31475842551164224,0.3237660389237638
17.4,1.294239615e-10,0.31468907548213276,0.32363976072209716
17.5,1.32782629e-10,0.31462150485070234,0.32351662034317297
17.6,1.362298105e-10,0.31455570984743964,0.3233964380878913
17.7,1.397685255e-10,0.3144917382245531,0.3232789764518477
17.8,1.43400884e-10,0.31442926074313265,0.3231639319571918
17.9,1.47129735e-10,0.3143689107482572,0.32305165269238956
18.0,1.50955871e-10,0.3143102415054514,0.32294183203799803
18.1,1.5488392e-10,0.3142533830766511,0.32283441784357914
18.2,1.589157375e-10,0.314198613178647,0.32272962687902595
18.3,1.63054402e-10,0.31414601789107766,0.322627446577968
18.4,1.67302028e-10,0.31409533583343435,0.32252775504661013
18.5,1.71662614e-10,0.3140465933950954,0.3224305780460123
18.6,1.76137792e-10,0.3139997962309275,0.32233595955847144
18.7,1.80731387e-10,0.31395488590730736,0.3222438449202755
18.8,1.854462695e-10,0.31391182849503435,0.32215411600754074
18.9,1.90285745e-10,0.31387061708260455,0.3220669053954771
19.0,1.95252425e-10,0.3138311718735646,0.32198215779205386
19.1,2.003497295e-10,0.3137936442926804,0.32190000388752543
19.2,2.055819445e-10,0.3137576265612255,0.32182009056687755
19.3,2.109524395e-10,0.31372331848449275,0.32174252087434924
19.4,2.16463605e-10,0.3136903135403927,0.3216670937480106
19.5,2.22120156e-10,0.3136587267112164,0.32159377902857234
19.6,2.279253905e-10,0.31362879424473156,0.3215226276098353
19.7,2.33882521e-10,0.3136000015480614,0.3214533931909355
