time,kinetic_energy,lc_w_z05,lc_w_z_weighted,convective_wavelength_z05_2pi_lc,convective_wavelength_z_weighted_2pi_lc
60.4,0.00057327368,0.0965697768,0.11333777,0.6067658027073721,0.7121222112124993
60.5,0.00057188055,0.0966600819,0.11335188,0.6073332063848554,0.7122108669571836
60.6,0.000570480595,0.0967505168,0.113362311,0.6079014256197918,0.7122764068631228
60.7,0.000569074475,0.096841294,0.11336995,0.6084717955890586,0.7123244041156843
60.8,0.00056766298,0.0969325482,0.113375308,0.609045162637717,0.7123580694225602
60.9,0.00056624696,0.0970244085,0.113377794,0.6096223379249902,0.7123736894212339
61.0,0.000564827135,0.0971169761,0.113378368,0.610203957309231,0.7123772959696001
61.1,0.000563404315,0.0972102222,0.113375753,0.6107898398347028,0.7123608654400219
61.2,0.00056197898,0.0973041025,0.113369659,0.6113797071562964,0.7123225757087599
61.3,0.000560551265,0.0973985427,0.113361929,0.6119730924333435,0.7122740066863354
61.4,0.00055912125,0.0974933439,0.113353716,0.6125687459402865,0.7122224028854075
61.5,0.000557688905,0.0975882991,0.113344934,0.6131653670577668,0.7121672239520399
61.6,0.000556254145,0.0976831332,0.113336127,0.6137612272815064,0.7121118879390396
61.7,0.0005548169,0.0977775222,0.113326735,0.6143542908594658,0.7120528762626346
61.8,0.00055337714,0.0978711533,0.11331596,0.6149425924112809,0.7119851749409497
61.9,0.00055193482,0.0979637328,0.113304029,0.6155242865654269,0.7119102102570497
62.0,0.00055049009,0.0980550646,0.113291715,0.6160981411892652,0.7118328391131772
62.1,0.000549043325,0.0981449181,0.113278862,0.6166627073802639,0.711752081332424
62.2,0.000547595185,0.0982331165,0.113265928,0.6172168742712606,0.7116708146136609
62.3,0.000546146435,0.0983195211,0.113253309,0.6177597703844533,0.7115915270982696
62.4,0.00054469778,0.0984039966,0.113239923,0.61829054560487,0.7115074203797477
62.5,0.00054324978,0.0984864777,0.113227732,0.61880878964051,0.7114308220676678
62.6,0.00054180336,0.098566838,0.113215985,0.6193137082967506,0.7113570134898645
62.7,0.00054035954,0.0986449298,0.113202754,0.6198043735471217,0.7112738806650651
62.8,0.000538919005,0.0987206693,0.113187837,0.6202802588606948,0.711180154389838
62.9,0.00053748221,0.0987938388,0.113172328,0.6207399963880286,0.7110827084689089
63.0,0.000536049865,0.0988643098,0.113157452,0.6211827787398108,0.7109892398042793
63.1,0.00053462295,0.0989319214,0.113144068,0.6216075949515256,0.710905145652128
63.2,0.0005332028,0.0989964981,0.113131852,0.6220133423241518,0.7108283902604156
