case,Ek,k_h,E_m,T_m,P_m,D_m,dE_m_dt,closure_residual
Ek3e-3,0.003000000000000819,30.630528372500482,7.478406536759212e-07,9.57510752469681e-07,1.7452013051734716e-07,-1.0169833741872167e-06,1.3963297795121512e-10,1.149078758218602e-07
Ek3e-3,0.003000000000000819,31.02322745419921,7.209569155094652e-07,9.389119600402019e-07,1.714881971415343e-07,-1.0041022603685474e-06,1.7710841607175767e-10,1.0612078839711708e-07
Ek3e-3,0.003000000000000819,31.41592653589793,7.431744248216202e-07,9.121885585924437e-07,1.8888715520463347e-07,-1.0585344796111982e-06,-3.8302005714382527e-10,4.2924254243022755e-08
Ek3e-3,0.003000000000000819,31.808625617596654,6.68497510044039e-07,8.108109506083613e-07,1.598325960230007e-07,-9.649437681561192e-07,-1.3518269955683116e-10,5.834961174799747e-09
Ek3e-3,0.003000000000000819,32.20132469929538,6.980605637385596e-07,9.250034773772238e-07,1.742366645994004e-07,-1.0335435943413285e-06,-2.2871453524459142e-11,6.571941908882007e-08
Ek3e-3,0.003000000000000819,32.59402378099411,6.277349264873044e-07,8.388113383315713e-07,1.5202132266974788e-07,-9.417291213974532e-07,-3.847541343829359e-11,4.914201501730429e-08
Ek3e-3,0.003000000000000819,32.98672286269283,6.227683025393018e-07,8.440872411321062e-07,1.5953630861135435e-07,-9.573031227351922e-07,4.793876634965324e-10,4.584103934477175e-08
Ek3e-3,0.003000000000000819,33.37942194439155,6.066002522737128e-07,8.383184558836718e-07,1.5149337692368e-07,-9.443087308858612e-07,-2.0730280781211274e-10,4.57104047293027e-08
Ek3e-3,0.003000000000000819,33.772121026090275,5.768306741692357e-07,8.198988796010665e-07,1.5394916893234327e-07,-9.296020776042772e-07,1.1374094963252136e-10,4.4132229979500084e-08
Ek3e-3,0.003000000000000819,34.164820107789,5.50514562226396e-07,7.930292440246495e-07,1.424845079049445e-07,-8.954180207376944e-07,-2.904691768429513e-11,4.012477810958387e-08
Ek3e-3,0.003000000000000819,34.55751918948772,5.171053414644894e-07,7.061604093801711e-07,1.3375115716304874e-07,-8.546620778550105e-07,4.477126179947322e-10,-1.519822392978544e-08
Ek3e-3,0.003000000000000819,34.95021827118645,5.50469575209396e-07,8.209850859996916e-07,1.4206242177854746e-07,-9.293567175381473e-07,-6.189558611713334e-11,3.375268582620898e-08
Ek3e-3,0.003000000000000819,35.34291735288517,4.866256690983958e-07,7.545405507241254e-07,1.3021954904569691e-07,-8.374861709307637e-07,-2.473217238228705e-11,4.7298661011440874e-08
Ek3e-3,0.003000000000000819,35.735616434583896,4.825572210779289e-07,7.59217853234785e-07,1.2884915692994477e-07,-8.440514744471231e-07,-8.256094146652211e-11,4.4098096659073093e-08
Ek3e-3,0.003000000000000819,36.12831551628262,4.6860413643833227e-07,7.007050733556135e-07,1.2110446886674123e-07,-8.318405948965548e-07,2.1287688691044722e-10,-1.0243929561110553e-08
Ek3e-3,0.003000000000000819,36.52101459798134,4.4938211835977203e-07,7.181469506709664e-07,1.2390500494243068e-07,-8.178000464593552e-07,3.5566037064113806e-10,2.3896248783400762e-08
Ek3e-3,0.003000000000000819,36.91371367968007,4.447864685876408e-07,7.353722052095389e-07,1.2050824902929446e-07,-8.231635181085373e-07,2.411165521863399e-11,3.269282447507742e-08
Ek3e-3,0.003000000000000819,37.306412761378795,4.1048991934021945e-07,6.965290592252264e-07,1.1406315276552702e-07,-7.741768038599894e-07,4.505465538612709e-11,3.637035347537752e-08
Ek3e-3,0.003000000000000819,37.69911184307752,4.029908701777584e-07,6.903906696966757e-07,1.1082765845771437e-07,-7.701096257340179e-07,-2.510657196392965e-10,3.13597681400115e-08
Ek3e-3,0.003000000000000819,38.09181092477624,4.0657888958225947e-07,7.091114540867636e-07,1.0908295364138055e-07,-7.883724280653469e-07,3.7238208041017697e-10,2.944959758238677e-08
Ek3e-3,0.003000000000000819,38.48451000647496,3.7896004164626887e-07,6.746744832506715e-07,1.045736596978544e-07,-7.479171548194727e-07,4.042567380226754e-10,3.092673139103051e-08
Ek3e-3,0.003000000000000819,38.87720908817369,3.745448311446383e-07,6.685241221231046e-07,1.0554606299932245e-07,-7.55434468317933e-07,2.1331599040826499e-10,1.8422400814085824e-08
Ek3e-3,0.003000000000000819,39.269908169872416,3.4736275921203867e-07,6.210218661041852e-07,9.374523329599385e-08,-7.076318083187542e-07,3.232124606493128e-11,7.1029698353600425e-09
Ek3e-3,0.003000000000000819,39.66260725157114,3.650250238965109e-07,6.89792591458693e-07,1.0203369895881274e-07,-7.587497929052673e-07,-5.123804353341305e-11,3.3127735555771744e-08
Ek3e-3,0.003000000000000819,40.05530633326986,3.401487747531484e-07,6.514757375028592e-07,9.552215474748086e-08,-7.172315822527198e-07,-3.828547611281498e-11,2.980459547373296e-08
Ek3e-3,0.003000000000000819,40.448005414968584,3.1678947739611276e-07,6.442668766336221e-07,8.687797407026198e-08,-6.771083748388446e-07,2.6583353889987693e-10,5.377064232613961e-08
Ek3e-3,0.003000000000000819,40.840704496667314,3.2733341722021307e-07,6.21184458653146e-07,8.92350931398538e-08,-7.076005457527559e-07,1.1875164373258667e-11,2.807130875870563e-09
Ek3e-3,0.003000000000000819,41.23340357836604,2.9687455113354e-07,5.918892057896995e-07,8.072588129244635e-08,-6.548855145321354e-07,2.367440944766868e-10,1.7492828455533857e-08
Ek3e-3,0.003000000000000819,41.62610266006476,3.0785511382898205e-07,6.296240484793366e-07,8.669866974661292e-08,-6.909178536689859e-07,-9.144891215657554e-11,2.5496313469120197e-08
Ek3e-3,0.003000000000000819,42.01880174176348,2.9064773146428687e-07,5.924747585443694e-07,8.048929876223786e-08,-6.590781606691267e-07,7.936132065032997e-12,1.3877960505415632e-08
Ek3e-3,0.003000000000000819,42.411500823462205,2.75670376885814e-07,5.966521374407045e-07,7.369077348630358e-08,-6.345511012902744e-07,-2.490493145529125e-11,3.5816714568189096e-08
Ek3e-3,0.003000000000000819,42.80419990516093,2.736500860889013e-07,5.914120276504122e-07,7.5520591455038e-08,-6.400270307088767e-07,8.893618515573649e-11,2.6816652211417947e-08
Ek3e-3,0.003000000000000819,43.19689898685966,2.6260824743871165e-07,5.520565038209481e-07,7.037943788742523e-08,-6.195843012199391e-07,-1.3368719212876712e-10,2.985327680562821e-09
Ek3e-3,0.003000000000000819,43.58959806855838,2.64268115538154e-07,5.74676488349896e-07,7.250720962257284e-08,-6.346021402133066e-07,-4.694402693125683e-11,1.2628501786093436e-08
Ek3e-3,0.003000000000000819,43.982297150257104,2.502359970163613e-07,5.642891932042462e-07,6.819367839786102e-08,-6.103490669351739e-07,-1.6093750653157571e-10,2.2294742173464972e-08
Ek3e-3,0.003000000000000819,44.374996231955826,2.4262637102936845e-07,5.579860399614278e-07,6.469948622608128e-08,-5.98431564923398e-07,-2.693483346715458e-10,2.452330959878255e-08
