case,Ek,k_h,E_m,T_m,P_m,D_m,dE_m_dt,closure_residual
Ek1p5e-4,0.00014999999999973672,91.106186954104,1.1055152343874954e-16,2.315261162641571e-17,8.448203855071456e-16,-9.24096866706777e-16,-5.574870240166162e-20,-5.606812087081405e-17
Ek1p5e-4,0.00014999999999973672,92.6769832808989,4.799087931329291e-17,9.609562615390873e-18,3.7234703789905196e-16,-4.103539503753449e-16,-2.2569303311044116e-20,-2.8374780557591e-17
Ek1p5e-4,0.00014999999999973672,94.24777960769379,2.933250728923692e-17,6.96793587180766e-18,2.342392240913332e-16,-2.578543228137715e-16,-1.894857301601393e-20,-1.6628214277614665e-17
Ek1p5e-4,0.00014999999999973672,95.81857593448869,2.1735945471100294e-17,6.358044487460353e-18,1.7783868639069557e-16,-1.9710338068941976e-16,2.848018086039906e-21,-1.2909497829349893e-17
Ek1p5e-4,0.00014999999999973672,97.38937226128358,1.879244853702695e-17,6.33378237199006e-18,1.6000273458370128e-16,-1.7669132802254035e-16,3.838689305865884e-22,-1.0355194935779599e-17
Ek1p5e-4,0.00014999999999973672,98.96016858807849,1.664813505627162e-17,6.1126404509840626e-18,1.4645932482194896e-16,-1.6158372240720092e-16,1.1061146680768052e-21,-9.01286324893599e-18
Ek1p5e-4,0.00014999999999973672,100.53096491487338,9.44162900623525e-18,3.170000184632855e-18,8.435105572922491e-17,-9.377285459000734e-17,-9.236951788942453e-22,-6.250874980970659e-18
Ek1p5e-4,0.00014999999999973672,102.10176124166827,7.62035215678362e-18,2.8015487449875368e-18,6.960872212473747e-17,-7.770013708579369e-17,-1.2127195136529657e-21,-5.2886534965550435e-18
Ek1p5e-4,0.00014999999999973672,103.67255756846318,7.502993930390796e-18,3.128346827177596e-18,7.084804993514121e-17,-7.944786258870722e-17,-1.206846616502546e-21,-5.470258979771909e-18
Ek1p5e-4,0.00014999999999973672,105.24335389525807,8.224429585309954e-18,3.850253873714388e-18,8.108640621047095e-17,-9.049120198928829e-17,3.235798185971812e-21,-5.557777703288948e-18
Ek1p5e-4,0.00014999999999973672,106.81415022205297,8.519062080146325e-18,4.2048649775909716e-18,8.657927254457791e-17,-9.661555367898991e-17,4.067839771924699e-21,-5.835483996592949e-18
Ek1p5e-4,0.00014999999999973672,108.38494654884786,6.881237039546437e-18,3.3898005893704017e-18,7.245063686233364e-17,-8.055973844007645e-17,-1.9944894311456016e-22,-4.7191015394292886e-18
Ek1p5e-4,0.00014999999999973672,109.95574287564276,6.513897350191143e-18,3.1046661125388176e-18,6.979569059561472e-17,-7.808924619188196e-17,2.64635327367492e-21,-5.191535837002097e-18
Ek1p5e-4,0.00014999999999973672,111.52653920243766,5.3144863697720686e-18,2.1798169319186584e-18,5.70237277369507e-17,-6.475533009377482e-17,-3.7498423054649523e-22,-5.5514104406749196e-18
