case,Ek,k_c,ell,Pi_m,P_m_resolved,chi_m_resolved,V_m_resolved,dV_m_dt,closure_residual
Ek1p5e-4,0.00014999999999973672,23.664248771792614,0.04225783838073842,-1.5186905994522157e-11,1.569938345581573e-07,1.5837337948726514e-07,3.062462173684211e-07,4.0642960902995823e-11,-1.405000984016283e-09
Ek1p5e-4,0.00014999999999973672,26.07132965149816,0.038356309914655086,-1.2270147068689767e-11,1.8997236281419355e-07,1.9164212087988327e-07,3.696747885093863e-07,4.7921561269704976e-11,-1.7054094798907596e-09
Ek1p5e-4,0.00014999999999973672,28.723254067853407,0.03481499685368809,-9.575134923404685e-12,2.223684906761042e-07,2.2432507127299854e-07,4.318416125610852e-07,5.4828997065134646e-11,-2.001834459036035e-09
Ek1p5e-4,0.00014999999999973672,31.64492702423593,0.03160064168370902,-7.1699273394585876e-12,2.532404076582877e-07,2.554719159996235e-07,4.909598111574467e-07,6.121577176235759e-11,-2.2855541857586526e-09
Ek1p5e-4,0.00014999999999973672,34.86378681202312,0.02868305744845652,-5.082000227021503e-12,2.8192934045992335e-07,2.84417758358478e-07,5.457923298666446e-07,6.69978240370072e-11,-2.5503337223646578e-09
Ek1p5e-4,0.00014999999999973672,38.41006269166915,0.026034844254937715,-3.308525188679817e-12,3.0804041436721003e-07,3.107638770947565e-07,5.95610441850059e-07,7.214346588600201e-11,-2.792297668243751e-09
Ek1p5e-4,0.00014999999999973672,42.31705878459456,0.02363113195296191,-1.8271190548317072e-12,3.31399169102524e-07,3.3433391350617853e-07,6.401066728878634e-07,7.665932710236755e-11,-3.009576611702083e-09
Ek1p5e-4,0.00014999999999973672,46.621466842000935,0.021449346572234133,-6.049930977900963e-13,3.519996228599241e-07,3.551215154024079e-07,6.792928646460014e-07,8.057768224882162e-11,-3.201865231634843e-09
Ek1p5e-4,0.00014999999999973672,51.36371082791494,0.01946899832355033,3.9430689823675294e-13,3.6995409663270787e-07,3.7323973919557364e-07,7.134028618855203e-07,8.394616304515139e-11,-3.3699830328091616e-09
Ek1p5e-4,0.00014999999999973672,56.58832655254222,0.017671489173151297,1.2065336931430922e-12,3.8545016067192995e-07,3.88877622260446e-07,7.428098149393856e-07,8.682002094710753e-11,-3.5154881431562803e-09
Ek1p5e-4,0.00014999999999973672,62.34437992117995,0.016039938183109188,1.8642943765200038e-12,3.987166429193543e-07,4.022658871508807e-07,7.679614722065536e-07,8.925667638712702e-11,-3.6403652022900045e-09
Ek1p5e-4,0.00014999999999973672,68.68592772658711,0.014559022977466717,2.3959706950997012e-12,4.099985697992821e-07,4.136516514458159e-07,7.893329084534373e-07,9.131212600787202e-11,-3.746789743236777e-09
Ek1p5e-4,0.00014999999999973672,75.67252531224888,0.01321483584529104,2.825503837520044e-12,4.195398650670488e-07,4.232809620969956e-07,8.073942129796324e-07,9.303876096951327e-11,-3.836961294753897e-09
Ek1p5e-4,0.00014999999999973672,83.36978587415051,0.011994753129263564,3.172663506181063e-12,4.275722590402456e-07,4.313875952586609e-07,8.225900312055086e-07,9.448420084472785e-11,-3.912993082766202e-09
Ek1p5e-4,0.00014999999999973672,91.84999665362886,0.010887316673195452,3.453543559888254e-12,4.343088722751287e-07,4.3818657335007654e-07,8.353279452384818e-07,9.569082337599073e-11,-3.976845441883661e-09
Ek1p5e-4,0.00014999999999973672,101.19279780814954,0.009882126215107626,3.6811260596673675e-12,4.399411359150513e-07,4.438710502442826e-07,8.459731067114114e-07,9.669574676316283e-11,-4.030291202054228e-09
Ek1p5e-4,0.00014999999999973672,111.48593033548543,0.008969741715306876,3.865826555017771e-12,4.4463797294936505e-07,4.486114793253055e-07,8.548470657234021e-07,9.753108764180885e-11,-4.074903290137274e-09
Ek1p5e-4,0.00014999999999973672,122.82606007527272,0.008141594702192353,4.015979421916028e-12,4.4854642340792495e-07,4.5255623998171445e-07,8.622292495229019e-07,9.822437124520478e-11,-4.1120569244566245e-09
Ek1p5e-4,0.00014999999999973672,135.31968552638645,0.007389907803214682,4.138249341879834e-12,4.517931210372717e-07,4.5583312451539454e-07,8.683599793386822e-07,9.879901076461132e-11,-4.142940738229206e-09
