Ra,Pr,Ek,AR,Nx,Ny,Nz,time,frame,field_path,inertia_bulk,coriolis_bulk,viscous_bulk,buoyancy_bulk,drag_bulk,local_Ro_force,buoyancy_power_bulk,viscous_dissipation_bulk,drag_dissipation_bulk,regime
8000000.0,0.7,0.00020000000000066313,4.0,256,256,64,310.0,31,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00031.h5,7.151484183370827e-08,0.00015075735321265133,4.8596010540329486e-06,0.0002849228810650958,0.0,0.0004743705053831288,7.419436825239018e-10,2.848270369780195e-10,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00020000000000066313,4.0,256,256,64,360.0,36,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00036.h5,0.0010286135662799136,0.004303584774886357,0.0007165167873041979,0.002109593883060794,0.0,0.2390131994802114,6.4641865092714655e-06,3.042713887689771e-06,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00020000000000066313,4.0,256,256,64,410.0,41,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00041.h5,0.004776744432237871,0.01831771828838586,0.002876499712222826,0.006088886870567848,0.0,0.2607718034001271,6.610051400846592e-05,4.484899919664539e-05,0.0,geostrophic leading; CIA/VAC mixed ageostrophic balance
8000000.0,0.7,0.00020000000000066313,4.0,256,256,64,460.0,46,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00046.h5,1.4695372107841882e-05,0.0018183283050081417,5.058821701013259e-05,0.0014419500530246164,0.0,0.008081803526550769,9.869468053616493e-10,4.92114625980688e-08,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00020000000000066313,4.0,256,256,64,510.0,51,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00051.h5,1.0000861134376821e-06,0.0007323543467262043,5.049774157632551e-06,0.0009467050292562385,0.0,0.001365576811154739,-1.0761711673387299e-10,2.7889884407342923e-09,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00020000000000066313,4.0,256,256,64,560.0,56,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00056.h5,4.1468440999369587e-07,0.0005224005975250579,4.184654677833131e-06,0.0006184094754232476,0.0,0.0007938053898833927,-4.714459340119665e-10,9.768138384566822e-10,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00020000000000066313,4.0,256,256,64,610.0,61,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00061.h5,8.52970177832955e-05,0.0009115236741641137,0.0001404781014475609,0.0006510824525633342,0.0,0.09357630547721611,3.631730254757192e-07,1.2283707265372108e-07,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00020000000000066313,4.0,256,256,64,660.0,66,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00066.h5,0.0012273203011539527,0.005539953708299741,0.0008218327747178771,0.0025490647446185233,0.0,0.22153981166218586,6.236620925679551e-06,3.7119093924144737e-06,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00020000000000066313,4.0,256,256,64,710.0,71,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00071.h5,0.004576809352182621,0.018351791565522205,0.002766273658887111,0.0054984134408712785,0.0,0.24939305439699652,4.7733087581699405e-05,4.0043858539881334e-05,0.0,geostrophic leading; CIA/VAC mixed ageostrophic balance
8000000.0,0.7,0.00020000000000066313,4.0,256,256,64,760.0,76,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00076.h5,8.65556086064244e-06,0.0014414002617911639,3.636654197414189e-05,0.00159067902269404,0.0,0.006004966899261251,-6.842085071563653e-10,2.8534406755007267e-08,0.0,geostrophic leading; VAC-like ageostrophic balance
