time,two_pi_Lm_smoothed
1471.3,2.012794749296813
1471.4,2.012726711133564
1471.5,2.012654258969804
1471.6,2.0125773433568663
1471.7,2.012495913463781
1471.8,2.012409917014446
1471.9,2.0123192999106365
1472.0,2.012224006106339
1472.1,2.012123977356425
1472.2,2.012019153153822
1472.3,2.011909470415348
1472.4,2.0117948632303895
1472.5,2.011675262923731
1472.6,2.0115505976785646
1472.7,2.011420792347994
1472.8,2.0112857684550347
1472.9,2.0111454438784544
1473.0,2.0109997327899425
1473.1,2.0108485454027805
1473.2,2.010691788097507
1473.3,2.010529363107759
1473.4,2.010361168520271
1473.5,2.0101870980863796
1473.6,2.0100070414733504
1473.7,2.009820883887388
1473.8,2.00962850626213
1473.9,2.009429785070155
1474.0,2.0092245922601446
1474.1,2.0090127955710493
1474.2,2.0087942583435887
1474.3,2.008568839645916
1474.4,2.008336394273618
1474.5,2.0080967728125496
1474.6,2.0078498217016607
1474.7,2.007595383421496
1474.8,2.0073332964941932
1474.9,2.0070633955463153
1475.0,2.0067855115601767
1475.1,2.006499471811014
1475.2,2.006205100181143
1475.3,2.0059022170342953
1475.4,2.005590639529779
1475.5,2.005270181810973
1475.6,2.004940654942494
1475.7,2.0046018669730317
1475.8,2.0042536233751687
1475.9,2.0038957267312227
1476.0,2.0035279772987327
1476.1,2.003150172759132
1476.2,2.0027621085947387
1476.3,2.0023635779630933
1476.4,2.0019543720111144
1476.5,2.001534279686609
1476.6,2.001103087989595
1476.7,2.0006605818466383
1476.8,2.000206544550679
1476.9,1.9997407573212047
1477.0,1.9992629998069056
1477.1,1.9987730498971816
1477.2,1.99827068372214
1477.3,1.997755675778261
1477.4,1.9972277989283949
1477.5,1.9966868243389324
1477.6,1.9961325215426373
1477.7,1.995564658501476
1477.8,1.994983001480955
1477.9,1.9943873151129532
1478.0,1.9937773623328883
1478.1,1.9931529045053822
1478.2,1.9925137012357652
1478.3,1.9918595104957397
1478.4,1.9911900885605476
1478.5,1.9905051900089703
1478.6,1.9898045676604983
1478.7,1.9890879726381614
1478.8,1.9883551543056974
1478.9,1.9876058603303846
1479.0,1.9868398364945454
1479.1,1.9860568269468741
1479.2,1.9852565738254462
1479.3,1.9844388176975396
1479.4,1.983603297182646
1479.5,1.982749749140965
1479.6,1.9818779085477392
1479.7,1.9809875083675943
1479.8,1.9800782798058623
1479.9,1.979149952057256
1480.0,1.9782022524315341
1480.1,1.9772349063534982
1480.2,1.976247637237331
1480.3,1.9752401666122597
1480.4,1.9742122137455644
1480.5,1.9731634961452342
1480.6,1.9720937291201428
1480.7,1.9710026259685445
1480.8,1.9698898977267472
1480.9,1.9687552535461028
1481.0,1.967598400253185
1481.1,1.9664190424126209
1481.2,1.9652168823899219
1481.3,1.9639916202886536
1481.4,1.9627429537619392
1481.5,1.9614705780124593
1481.6,1.960174185855284
1481.7,1.9588534676550415
1481.8,1.957508111263086
1481.9,1.9561378018290017
1482.0,1.954742221800603
1482.1,1.9533210511752621
1482.2,1.951873966997254
1482.3,1.9504006437975807
1482.4,1.948900753342641
1482.5,1.9473739644457375
1482.6,1.9458199434068986
1482.7,1.9442383535730559
1482.8,1.9426288555265383
1482.9,1.9409911070850745
1483.0,1.9393247633646231
1483.1,1.9376294768422044
1483.2,1.9359048973559014
1483.3,1.934150672167691
1483.4,1.9323664459006125
1483.5,1.9305518606015981
1483.6,1.928706556055635
1483.7,1.9268301697229304
1483.8,1.9249223368017456
1483.9,1.9229826904797225
1484.0,1.9210108621223787
1484.1,1.9190064812102772
1484.2,1.9169691754646883
1484.3,1.9148985710989181
1484.4,1.9127942930068038
1484.5,1.9106559648255452
1484.6,1.9084832093755286
1484.7,1.9062756485974939
1484.8,1.9040329039295265
1484.9,1.9017545963070566
1485.0,1.8994403464770193
1485.1,1.897089775374845
1485.2,1.8947025041244594
1485.3,1.892278154352444
1485.4,1.8898163486906885
1485.5,1.8873167105878979
1485.6,1.884778864937909
1485.7,1.8822024380168598
1485.8,1.879587057985844
1485.9,1.8769323549537424
1486.0,1.874237961228551
1486.1,1.8715035120085308
1486.2,1.868728645005217
1486.3,1.8659130010717373
1486.4,1.863056224391308
1486.5,1.860157962917056
1486.6,1.8572178684976837
1486.7,1.8542355971916271
1486.8,1.851210809329889
1486.9,1.8481431700815238
1487.0,1.8450323495164718
1487.1,1.8418780229197156
1487.2,1.8386798711682735
1487.3,1.8354375807311991
1487.4,1.8321508441722347
1487.5,1.828819360401141
1487.6,1.8254428348621903
1487.7,1.8220209799739915
1487.8,1.8185535151923207
1487.9,1.8150401672614485
1488.0,1.8114806707167959
1488.1,1.807874768199092
1488.2,1.8042222103915453
1488.3,1.800522756333998
1488.4,1.7967761739255856
1488.5,1.7929822399875657
1488.6,1.7891407406403101
1488.7,1.785251471617465
1488.8,1.781314238391613
1488.9,1.7773288563627698
1489.0,1.773295151235375
1489.1,1.7692129590811239
1489.2,1.7650821270301178
1489.3,1.76090251276821
1489.4,1.7566739854166504
1489.5,1.7523964255949183
1489.6,1.7480697254207211
1489.7,1.743693789012652
1489.8,1.7392685326158506
1489.9,1.7347938848533313
1490.0,1.7302697869144803
1490.1,1.725696192680717
1490.2,1.7210730690396554
1490.3,1.7164003960735974
1490.4,1.7116781673736943
1490.5,1.7069063898514496
1490.6,1.7020850841157116
1490.7,1.6972142847239997
1490.8,1.6922940402453355
1490.9,1.687324413323077
1491.0,1.682305480926244
1491.1,1.6772373346636786
1491.2,1.6721200806583807
1491.3,1.6669538397988348
1491.4,1.66173874799034
1491.5,1.6564749558408478
1491.6,1.6511626292264503
1491.7,1.645801949165716
1491.8,1.6403931120710182
1491.9,1.6349363297485329
1492.0,1.6294318297124006
1492.1,1.6238798549333966
1492.2,1.6182806641530922
1492.3,1.6126345318210218
1492.4,1.6069417482831776
1492.5,1.6012026199076765
1492.6,1.595417469021924
1492.7,1.5895866338497848
1492.8,1.5837104690142383
1492.9,1.5777893451603855
1493.0,1.5718236490811142
1493.1,1.565813783905593
1493.2,1.5597601689736103
1493.3,1.553663239772739
1493.4,1.5475234481268345
1493.5,1.54134126238453
1493.6,1.5351171669794124
1493.7,1.5288516626185191
1493.8,1.5225452664080008
1493.9,1.5161985115389627
1494.0,1.509811947224632
1494.1,1.5033861390145191
1494.2,1.496921668543087
1494.3,1.4904191334040906
1494.4,1.4838791469620798
1494.5,1.4773023386037265
1494.6,1.470689353172339
1494.7,1.4640408511563572
1494.8,1.4573575083751917
1494.9,1.450640015979227
1495.0,1.4438890800728277
1495.1,1.4371054215258443
1495.2,1.4302897760992763
1495.3,1.423442893879785
1495.4,1.4165655389027045
1495.5,1.4096584893405348
1495.6,1.4027225367489613
1495.7,1.3957584863181807
1495.8,1.3887671561817516
1495.9,1.381749377416595
1496.0,1.3747059933518426
1496.1,1.3676378593175107
1496.2,1.3605458423931716
1496.3,1.3534308211566262
1496.4,1.3462936849927551
1496.5,1.33913533384219
1496.6,1.33195667807565
1496.7,1.3247586376142955
1496.8,1.3175421418668976
1496.9,1.3103081290386862
1497.0,1.3030575458800238
1497.1,1.295791347309413
1497.2,1.2885104957851787
1497.3,1.281215961116974
1497.4,1.2739087198374588
1497.5,1.2665897548253109
1497.6,1.2592600548654016
1497.7,1.2519206138948153
1497.8,1.2445724310028474
1497.9,1.237216509739855
1498.0,1.229853857363275
1498.1,1.2224854845234638
1498.2,1.215112404949539
1498.3,1.2077356347582286
1498.4,1.2003561921397115
1498.5,1.1929750966036357
1498.6,1.185593368539295
1498.7,1.1782120288386382
1498.8,1.1708320980794544
1498.9,1.1634545964625422
1499.0,1.1560805431205587
1499.1,1.1487109556153643
1499.2,1.1413468491212087
1499.3,1.1339892362990678
1499.4,1.1266391267311573
1499.5,1.119297526166949
1499.6,1.1119654363346767
1499.7,1.104643854375848
1499.8,1.0973337720912641
1499.9,1.0900361757525228
