time,kinetic_energy,two_pi_Lm
1217.2,5.04636615e-06,0.35576819670191806
1217.3,5.12359685e-06,0.35540718183876785
1217.4,5.2008125e-06,0.3550471905065042
1217.5,5.2780006e-06,0.3546882679440613
1217.6,5.3551489e-06,0.35433046001869184
1217.7,5.43221905e-06,0.3539738207657896
1217.8,5.50920365e-06,0.3536184054773851
1217.9,5.5860772e-06,0.35326427447205744
1218.0,5.66281175e-06,0.3529114918382967
1218.1,5.73938145e-06,0.3525601260628227
1218.2,5.81577585e-06,0.3522102481456295
1218.3,5.89198475e-06,0.3518619284583924
1218.4,5.96796585e-06,0.35151523800110557
1218.5,6.04370795e-06,0.35117025531358514
1218.6,6.11918185e-06,0.35082706082060316
1218.7,6.1943837e-06,0.3504857318053389
1218.8,6.2692739e-06,0.35014634932088273
1218.9,6.3438476e-06,0.3498089975619179
1219.0,6.41806885e-06,0.3494737575815348
1219.1,6.49192925e-06,0.34914071483105363
1219.2,6.5654082e-06,0.3488099572750687
1219.3,6.63848415e-06,0.34848157099321864
1219.4,6.711132e-06,0.34815564332177934
1219.5,6.7833285e-06,0.3478322647386191
1219.6,6.8550569e-06,0.347511526349925
1219.7,6.9263122e-06,0.34719351863356535
1219.8,6.99706305e-06,0.34687833143909014
1219.9,7.06728825e-06,0.3465660583859604
1220.0,7.1369812e-06,0.346256789323726
1220.1,7.2061204e-06,0.3459506159868924
1220.2,7.2746871e-06,0.3456476301099652
1220.3,7.3426493e-06,0.34534792719736096
1220.4,7.40999985e-06,0.3450516008685408
1220.5,7.47671905e-06,0.34475874411464735
1220.6,7.54282165e-06,0.3444694467852303
1220.7,7.60824955e-06,0.3441838012431138
1220.8,7.67300525e-06,0.3439018992228034
1220.9,7.73708235e-06,0.34362383497207855
1221.0,7.80045795e-06,0.3433496983404893
1221.1,7.86312585e-06,0.34307958106254094
1221.2,7.9250538e-06,0.342813572359465
1221.3,7.9862534e-06,0.34255176082417427
1221.4,8.0467101e-06,0.34229423442126305
1221.5,8.1064e-06,0.34204107797373295
1221.6,8.16531965e-06,0.34179237756122266
1221.7,8.22345895e-06,0.3415482198916895
1221.8,8.28080595e-06,0.3413086847615869
1221.9,8.3373563e-06,0.3410738563655978
1222.0,8.39310605e-06,0.3408438126152202
1222.1,8.44803385e-06,0.34061863330690734
1222.2,8.5021444e-06,0.3403983944672015
1222.3,8.5554143e-06,0.3401831727509635
1222.4,8.6078536e-06,0.3399730404148243
1222.5,8.6594691e-06,0.3397680659455038
1222.6,8.71022115e-06,0.33956831531644766
1222.7,8.76014255e-06,0.33937385387278307
1222.8,8.8092226e-06,0.3391847438180447
1222.9,8.8574575e-06,0.33900104421417426
1223.0,8.90484255e-06,0.3388228116098396
1223.1,8.9513785e-06,0.33865010192538997
1223.2,8.9970629e-06,0.33848296793958194
1223.3,9.0418791e-06,0.3383214605462165
1223.4,9.08586425e-06,0.33816562749750195
1223.5,9.1290078e-06,0.33801551089077986
1223.6,9.1712926e-06,0.3378711540800289
1223.7,9.2127473e-06,0.33773259664931643
1223.8,9.25336045e-06,0.33759987441279876
1223.9,9.29313885e-06,0.33747302192799505
1224.0,9.33210355e-06,0.33735206872587625
1224.1,9.3702556e-06,0.3372370399391836
1224.2,9.40760395e-06,0.33712795881570273
1224.3,9.4441467e-06,0.3370248454616266
1224.4,9.4798964e-06,0.33692771872651117
1224.5,9.51486275e-06,0.33683659494663815
1224.6,9.5490499e-06,0.33675148794501536
1224.7,9.58249575e-06,0.3366724058897836
1224.8,9.6151906e-06,0.3365993525508541
1224.9,9.64714e-06,0.336532332954775
1225.0,9.67836455e-06,0.3364713514997762
1225.1,9.7088847e-06,0.3364164025309908
1225.2,9.73869805e-06,0.3363674810218706
1225.3,9.7678456e-06,0.3363245800609117
1225.4,9.7963165e-06,0.3362876870817435
1225.5,9.8241533e-06,0.3362567882613584
1225.6,9.8513532e-06,0.33623186475020045
1225.7,9.8779477e-06,0.3362129020969434
1225.8,9.9039354e-06,0.336199875168846
1225.9,9.9293569e-06,0.3361927651163524
1226.0,9.95422515e-06,0.3361915411518545
1226.1,9.97855845e-06,0.33619617500101856
1226.2,1.00023736e-05,0.33620663838951065
1226.3,1.00257095e-05,0.3362228948748559
1226.4,1.00485699e-05,0.33624490864289813
1226.5,1.00709785e-05,0.33627263948125136
1226.6,1.00929762e-05,0.33630604780584816
1226.7,1.01145765e-05,0.33634508335120605
1226.8,1.013581015e-05,0.33638970087839093
1226.9,1.01566845e-05,0.3364398520068757
1227.0,1.017725e-05,0.33649548270126695
1227.1,1.019752165e-05,0.3365565382978524
1227.2,1.021754135e-05,0.33662295659309754
1227.3,1.02373307e-05,0.3366946760117864
1227.4,1.025690475e-05,0.33677163309374725
1227.5,1.02762985e-05,0.33685376375049003
1227.6,1.029553355e-05,0.336941002008569
1227.7,1.031466705e-05,0.3370332768679903
1227.8,1.03337123e-05,0.33713051041725595
1227.9,1.03527032e-05,0.3372326297714165
1228.0,1.037166865e-05,0.33733955701897406
1228.1,1.03906432e-05,0.33745121110683823
1228.2,1.04096558e-05,0.33756751161023707
1228.3,1.042873595e-05,0.33768837056457623
1228.4,1.044792595e-05,0.33781370314685416
1228.5,1.04672503e-05,0.3379434251623877
1228.6,1.04867391e-05,0.33807744299171566
1228.7,1.050645805e-05,0.3382156661569698
1228.8,1.052640465e-05,0.33835799664045924
1228.9,1.054662505e-05,0.338504343335997
1229.0,1.056712965e-05,0.3386546201639444
1229.1,1.05880039e-05,0.338808725965018
1229.2,1.060926765e-05,0.3389665551817046
1229.3,1.063094965e-05,0.33912801042463203
1229.4,1.06530682e-05,0.339292995561065
1229.5,1.067568945e-05,0.3394614138299498
1229.6,1.06988218e-05,0.33963316030209184
1229.7,1.072250745e-05,0.33980814072971155
1229.8,1.07467916e-05,0.33998625395352533
1229.9,1.077170995e-05,0.3401674019558425
1230.0,1.07972808e-05,0.34035148483401667
1230.1,1.082354095e-05,0.3405384070836311
1230.2,1.08505226e-05,0.34072807005867656
1230.3,1.08782663e-05,0.34092037762641786
1230.4,1.09067907e-05,0.3411152317691641
1230.5,1.0936138e-05,0.34131253446922455
1230.6,1.096633625e-05,0.34151218833722696
1230.7,1.09973954e-05,0.3417140978687546
1230.8,1.102933155e-05,0.34191817070098357
1230.9,1.10621869e-05,0.3421243113294971
1231.0,1.109597245e-05,0.3423324204799674
1231.1,1.113072595e-05,0.342542398249748
1231.2,1.116643835e-05,0.3427541466211483
