time,F_I,F_C,F_P,F_V,F_B,F_CP
679.8,0.0620388949,0.0110578888,0.0694377506,0.00500445071,0.0144124683,0.06139791343933821
679.9,0.062050648,0.0110579865,0.06945062,0.00500344934,0.0144159638,0.061411354587101806
680.0,0.0620626993,0.0110581013,0.0694630167,0.00500272724,0.0144195219,0.061424342472641655
680.1,0.0620768126,0.011058241,0.0694771263,0.00500326217,0.0144230713,0.06143937185544148
680.2,0.0620936816,0.0110584065,0.0694904321,0.00500508105,0.0144263912,0.06145364914501378
680.3,0.0621104416,0.0110585914,0.069503185,0.00500764537,0.0144296858,0.06146728004761481
680.4,0.0621217924,0.011058787,0.0695119095,0.00500984807,0.0144334136,0.06147631315134425
680.5,0.0621255393,0.011058986,0.0695160829,0.00501108899,0.014436493,0.06147993747953797
680.6,0.0621221061,0.0110591901,0.0695161627,0.00501120895,0.0144398518,0.061478603853295705
680.7,0.0621219113,0.011059408,0.0695146534,0.00500928539,0.0144430433,0.06147544381312582
680.8,0.0621306963,0.0110596472,0.0695154884,0.00500700274,0.0144462697,0.06147534871096445
680.9,0.0621446573,0.0110599061,0.0695190042,0.00500447062,0.014449574,0.06147852608908994
681.0,0.0621587498,0.0110601764,0.0695230454,0.00500103206,0.0144526202,0.06148221078980475
681.1,0.0621692109,0.0110604528,0.0695268463,0.00499676458,0.0144549879,0.0614853272474455
681.2,0.0621748418,0.0110607369,0.0695319107,0.00499269177,0.0144574115,0.061490041011368575
681.3,0.0621802268,0.0110610314,0.0695388556,0.00498917303,0.0144595982,0.061497021350238795
681.4,0.0621888143,0.0110613382,0.0695462404,0.00498726153,0.0144622122,0.06150466161567482
681.5,0.0621976593,0.0110616566,0.0695532164,0.00498719024,0.0144641986,0.06151167512689873
681.6,0.0622081686,0.0110619787,0.0695601335,0.00498838532,0.0144661426,0.06151862275589397
681.7,0.0622252637,0.0110622953,0.0695699865,0.0049904085,0.0144669966,0.06152931487713291
681.8,0.0622458134,0.011062602,0.0695815974,0.00499305587,0.014468023,0.06154238709928138
681.9,0.0622646549,0.0110628998,0.0695922048,0.00499589107,0.0144684068,0.061554351504779906
682.0,0.0622819221,0.0110631911,0.0696017363,0.00499857889,0.0144687912,0.06156499542964728
682.1,0.0622987934,0.0110634769,0.0696095153,0.00500090356,0.0144680202,0.06157356104617268
682.2,0.0623126583,0.0110637582,0.0696145872,0.00500285558,0.0144673577,0.061579058930884625
682.3,0.0623234267,0.0110640314,0.0696187047,0.00500546332,0.0144660569,0.06158348276394074
682.4,0.0623286663,0.0110642884,0.0696202079,0.00500791559,0.0144652294,0.06158487799061804
682.5,0.0623304946,0.0110645247,0.0696208746,0.0050103641,0.0144636306,0.06158560068213075
682.6,0.0623347046,0.0110647437,0.069623339,0.00501334342,0.0144625853,0.061588843045944516
