Ra,Pr,Ek,AR,Nx,Ny,Nz,time,frame,w_rms,field_path
8000000.0,0.7,0.00020000000000066313,4.0,,,,410.0,41,0.012911029676698927,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00041.h5
8000000.0,0.7,0.00020000000000066313,4.0,,,,460.0,46,0.00016351242954096548,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00046.h5
8000000.0,0.7,0.00020000000000066313,4.0,,,,510.0,51,1.0828367833237174e-05,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00051.h5
8000000.0,0.7,0.00020000000000066313,4.0,,,,560.0,56,1.8277366080940343e-05,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00056.h5
8000000.0,0.7,0.00020000000000066313,4.0,,,,610.0,61,0.0006202606511432877,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00061.h5
8000000.0,0.7,0.00020000000000066313,4.0,,,,660.0,66,0.003418043695801909,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00066.h5
8000000.0,0.7,0.00020000000000066313,4.0,,,,710.0,71,0.011510168330270286,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00071.h5
8000000.0,0.7,0.00020000000000066313,4.0,,,,760.0,76,0.00011135907954756476,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00076.h5
8000000.0,0.7,0.00020000000000066313,4.0,,,,810.0,81,8.258871271267472e-06,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00081.h5
8000000.0,0.7,0.00020000000000066313,4.0,,,,860.0,86,1.6613204249437494e-05,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00086.h5
8000000.0,0.7,0.00020000000000066313,4.0,,,,910.0,91,9.7726827673038e-05,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00091.h5
8000000.0,0.7,0.00020000000000066313,4.0,,,,960.0,96,0.006233135533633849,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00096.h5
8000000.0,0.7,0.00020000000000066313,4.0,,,,1010.0,101,0.009163650693241421,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00101.h5
8000000.0,0.7,0.00020000000000066313,4.0,,,,1060.0,106,7.677699450865637e-05,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00106.h5
8000000.0,0.7,0.00020000000000066313,4.0,,,,1110.0,111,7.584361458097757e-06,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00111.h5
8000000.0,0.7,0.00020000000000066313,4.0,,,,1160.0,116,1.9476383537311107e-05,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00116.h5
8000000.0,0.7,0.00020000000000066313,4.0,,,,1200.0,120,0.00023241704803240765,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00120.h5
