Ra,Ek,time,z,inertia,coriolis,viscous,buoyancy,drag,buoyancy_power,viscous_dissipation,drag_dissipation
8000000.0,0.00020000000000066313,,0.07293193688971603,1.62791542192541e-06,0.0003266051521466108,1.428503733433517e-05,0.00011197719384293045,0.0,-6.107741253777674e-10,1.662341572440665e-09,0.0
8000000.0,0.00020000000000066313,,0.08590843832143788,1.6751347135572436e-06,0.00032640475078205233,1.258027475847741e-05,0.00013112233747895958,0.0,-7.279147449693803e-10,1.7176131603448477e-09,0.0
8000000.0,0.00020000000000066313,,0.09931926461903035,1.7395822630628384e-06,0.00032937737741886136,1.2796376958220854e-05,0.00015052858130021096,0.0,-8.523164383960651e-10,1.8259516302334774e-09,0.0
8000000.0,0.00020000000000066313,,0.11315034967762214,1.823391262555002e-06,0.0003346319816227262,1.3549485254595653e-05,0.00017007456373179503,0.0,-9.87224966714449e-10,1.965525129745151e-09,0.0
8000000.0,0.00020000000000066313,,0.1273871865989355,1.9261228357358052e-06,0.00034127767705880336,1.4353628325696527e-05,0.00018961899321860527,0.0,-1.133524605049458e-09,2.1295816119829235e-09,0.0
8000000.0,0.00020000000000066313,,0.14201484290701943,2.0477194498034485e-06,0.0003488471220927383,1.5134684988518545e-05,0.00020899783367414425,0.0,-1.2911701807489698e-09,2.3189651106707577e-09,0.0
8000000.0,0.00020000000000066313,,0.15701797621035488,2.1894190999860786e-06,0.000357224733650396,1.5930548103580363e-05,0.0002280214479121785,0.0,-1.4602560568943422e-09,2.5377460882149285e-09,0.0
8000000.0,0.00020000000000066313,,0.17238085029390485,2.353678617555525e-06,0.00036645581755369685,1.6785109712170846e-05,0.0002464716875618904,0.0,-1.6413852719511103e-09,2.7910525534437123e-09,0.0
8000000.0,0.00020000000000066313,,0.1880873516242307,2.5438924573790794e-06,0.0003766147003675721,1.7725122461815882e-05,0.0002640991086543421,0.0,-1.8356064880884629e-09,3.0844865981518516e-09,0.0
8000000.0,0.00020000000000066313,,0.20412100625036386,2.764242202609056e-06,0.0003877544495653695,1.8764161365359976e-05,0.00028062062817930884,0.0,-2.0442582141622746e-09,3.4242950388583324e-09,0.0
8000000.0,0.00020000000000066313,,0.22046499708270553,3.0197232257183474e-06,0.000399902935778293,1.9910523616049436e-05,0.0002957180376096032,0.0,-2.268887456581799e-09,3.817711945650066e-09,0.0
8000000.0,0.00020000000000066313,,0.23710218153183107,3.31629971121076e-06,0.00041307188597299326,2.1172103332417296e-05,0.00030903789153225087,0.0,-2.5112501442867107e-09,4.273261381205268e-09,0.0
8000000.0,0.00020000000000066313,,0.25401510948869915,3.6611449419160143e-06,0.0004272638172147298,2.255823604737234e-05,0.0003201934216388251,0.0,-2.7733345664890524e-09,4.801024963200865e-09,0.0
8000000.0,0.00020000000000066313,,0.27118604162740667,4.062955417741341e-06,0.0004424746285657637,2.408012669910605e-05,0.0003287693105527008,0.0,-3.0573410203857194e-09,5.412931820263577e-09,0.0
8000000.0,0.00020000000000066313,,0.2885969680112919,4.532353697872591e-06,0.0004586939565185095,2.5751018460681102e-05,0.00033433043055526254,0.0,-3.365543329282848e-09,6.1231098660259485e-09,0.0
8000000.0,0.00020000000000066313,,0.306229626982871,5.082411884967333e-06,0.0004759051200714182,2.75865879449854e-05,0.00033643608518468956,0.0,-3.6999133715807887e-09,6.948312782536642e-09,0.0
8000000.0,0.00020000000000066313,,0.32406552431779473,5.729340898119592e-06,0.0004940851802224917,2.9605724322382348e-05,0.00033466205668211967,0.0,-4.061281989294294e-09,7.908423260699193e-09,0.0
8000000.0,0.00020000000000066313,,0.3420859526227361,6.493405908903581e-06,0.0005132046473940877,3.183183067851843e-05,0.0003286342338981471,0.0,-4.447594117772523e-09,9.027020641650149e-09,0.0
8000000.0,0.00020000000000066313,,0.3602720109568628,7.400149095686838e-06,0.000533225592744493,3.429497866793117e-05,0.0003180806092148109,0.0,-4.850390821281094e-09,1.0331973929324082e-08,0.0
8000000.0,0.00020000000000066313,,0.3786046246563139,8.482019566957295e-06,0.0005540957895421098,3.7035770072299886e-05,0.0003029148911364909,0.0,-5.247784786036997e-09,1.1855953540707987e-08,0.0
8000000.0,0.00020000000000066313,,0.397064565340888,9.78043092130564e-06,0.0005757341725468228,4.011321154770508e-05,0.0002833792480026565,0.0,-5.5903450540723656e-09,1.3636576471627307e-08,0.0
8000000.0,0.00020000000000066313,,0.4156324710819595,1.1347472645741088e-05,0.000597997426898097,4.362268200267013e-05,0.0002603054043159201,0.0,-5.772088820099721e-09,1.5715369348109257e-08,0.0
8000000.0,0.00020000000000066313,,0.43428886671046696,1.3242027357776058e-05,0.0006206038529540024,4.7736929629166105e-05,0.00023561931927625141,0.0,-5.568335978526511e-09,1.8133079331422353e-08,0.0
8000000.0,0.00020000000000066313,,0.45301418424367706,1.5496344178328374e-05,0.0006429585501874344,5.2778478165931785e-05,0.00021331284195125221,0.0,-4.493832452858073e-09,2.0914173161189328e-08,0.0
8000000.0,0.00020000000000066313,,0.4717887834092959,1.7980629293350523e-05,0.0006637705275276244,5.918590916724311e-05,0.0002010365578040273,0.0,-1.4509366551468101e-09,2.4024636751448096e-08,0.0
8000000.0,0.00020000000000066313,,0.49059297224540244,2.0186780233537168e-05,0.0006803821969957988,6.68630011965832e-05,0.00021181838352187044,0.0,6.2171104008575555e-09,2.7297391732019143e-08,0.0
8000000.0,0.00020000000000066313,,0.5094070277545975,2.1387770840194234e-05,0.0006884067391065655,7.446787371665212e-05,0.00025931242567762297,0.0,2.1497430296569017e-08,3.040362917495466e-08,0.0
8000000.0,0.00020000000000066313,,0.528211216590704,2.1272290784391953e-05,0.0006831435673102978,8.062275553387018e-05,0.00033607182612635365,0.0,4.240644865159248e-08,3.2982962828597864e-08,0.0
8000000.0,0.00020000000000066313,,0.5469858157563228,2.0081613516986922e-05,0.000661091641395906,8.491397079554136e-05,0.0004281024599753409,0.0,6.770879511757544e-08,3.478844966470316e-08,0.0
8000000.0,0.00020000000000066313,,0.5657111332895329,1.82611509149922e-05,0.000619984475337214,8.693730590105766e-05,0.0005293528274022141,0.0,9.815887957685786e-08,3.573856451535484e-08,0.0
8000000.0,0.00020000000000066313,,0.5843675289180406,1.632657054806664e-05,0.0005599943198615153,8.627293380438911e-05,0.0006284197891460385,0.0,1.309492657743173e-07,3.593587228585417e-08,0.0
8000000.0,0.00020000000000066313,,0.6029354346591118,1.4755989610703502e-05,0.0004864747067188395,8.36605432295183e-05,0.0007056276779915976,0.0,1.5987675197635396e-07,3.561537823785019e-08,0.0
8000000.0,0.00020000000000066313,,0.621395375343686,1.3849682206982207e-05,0.00041171308442531,8.08545961191401e-05,0.0007181453322797607,0.0,1.7943299431909e-07,3.511860468487728e-08,0.0
8000000.0,0.00020000000000066313,,0.6397279890431371,1.3620536244303609e-05,0.00035410234415938607,7.919705928185167e-05,0.0007273076870042768,0.0,1.9219783109842304e-07,3.4879311893003974e-08,0.0
8000000.0,0.00020000000000066313,,0.6579140473772638,1.387669645818554e-05,0.00033450841140226676,7.919897351965514e-05,0.0007320514956202639,0.0,1.9803325177522588e-07,3.5219253130757426e-08,0.0
8000000.0,0.00020000000000066313,,0.6759344756822052,1.4462821868100218e-05,0.0003625650593345126,8.092211943065237e-05,0.00073208446630208,0.0,1.9643413474831891e-07,3.617137341130847e-08,0.0
8000000.0,0.00020000000000066313,,0.6937703730171288,1.5430846714211233e-05,0.0004256721830999694,8.391862590900593e-05,0.0007279378185412589,0.0,1.85965837508565e-07,3.749970422624579e-08,0.0
8000000.0,0.00020000000000066313,,0.7114030319887079,1.700819353530956e-05,0.0005027212948789717,8.697161151604602e-05,0.0006791714388612203,0.0,1.6461513094145864e-07,3.888680651135241e-08,0.0
8000000.0,0.00020000000000066313,,0.7288139583725932,1.9381038513337925e-05,0.0005784967672580584,8.880838936804765e-05,0.0006141031430061725,0.0,1.3896202386388716e-07,4.0087447424068045e-08,0.0
8000000.0,0.00020000000000066313,,0.7459848905113007,2.2458939412094484e-05,0.0006457041295709694,8.916810561366373e-05,0.0005434043023605201,0.0,1.1310437163203821e-07,4.090115688209469e-08,0.0
8000000.0,0.00020000000000066313,,0.762897818468169,2.5821181297960875e-05,0.0007016535401645642,8.839137114387063e-05,0.00047152063496977523,0.0,8.871503521821539e-08,4.117113009627915e-08,0.0
8000000.0,0.00020000000000066313,,0.7795350029172945,2.885455922592284e-05,0.0007454865152161854,8.651618912427312e-05,0.0003997234473950517,0.0,6.592292255313373e-08,4.0834363082335116e-08,0.0
8000000.0,0.00020000000000066313,,0.7958789937496361,3.097665431209287e-05,0.0007773954866229861,8.335450361965978e-05,0.0003322257055386544,0.0,4.599704935534222e-08,3.994289183896982e-08,0.0
8000000.0,0.00020000000000066313,,0.8119126483757694,3.1925063027872685e-05,0.0007988572103978505,7.919254854722222e-05,0.0002755631116253399,0.0,3.1117482233843696e-08,3.864199009790574e-08,0.0
8000000.0,0.00020000000000066313,,0.8276191497060952,3.190104197403412e-05,0.0008123186536269383,7.484510831219563e-05,0.00023089572313872577,0.0,2.1252738770498744e-08,3.711151690634238e-08,0.0
8000000.0,0.00020000000000066313,,0.842982023789645,3.132539858692331e-05,0.0008202773138338578,7.095384392722793e-05,0.00019511535621508265,0.0,1.4684406333719063e-08,3.5510978673210576e-08,0.0
8000000.0,0.00020000000000066313,,0.8579851570929806,3.0532413890964814e-05,0.0008246972143820334,6.769780073278417e-05,0.00016596057050037382,0.0,1.025420796536561e-08,3.3954575262900943e-08,0.0
8000000.0,0.00020000000000066313,,0.8726128134010644,2.9705193634008402e-05,0.0008269366500842122,6.502585876012441e-05,0.00014176002562070033,0.0,7.21459299186446e-09,3.251197292798289e-08,0.0
8000000.0,0.00020000000000066313,,0.8868496503223778,2.8929308645317238e-05,0.0008278777108508972,6.28394326700736e-05,0.00012125160242953475,0.0,5.089840740508718e-09,3.121939551393469e-08,0.0
8000000.0,0.00020000000000066313,,0.9006807353809696,2.8240089906954996e-05,0.0008280770237647637,6.105048294938789e-05,0.00010347511093271823,0.0,3.577821688808439e-09,3.0091411136322995e-08,0.0
8000000.0,0.00020000000000066313,,0.9140915616785621,2.7648985973165353e-05,0.0008278812014906272,5.959173666161055e-05,8.77077758843408e-05,0.0,2.485670132655726e-09,2.912969421161803e-08,0.0
8000000.0,0.00020000000000066313,,0.927068063110284,2.7156327119028204e-05,0.0008275038480421728,5.841310528520234e-05,7.3419895116984e-05,0.0,1.6890403883879477e-09,2.8328634080599044e-08,0.0
8000000.0,0.00020000000000066313,,0.9395966291180717,2.6757298124169822e-05,0.0008270744279885147,5.747633237276733e-05,6.0238174510730704e-05,0.0,1.1066426673397405e-09,2.7678685321965496e-08,0.0
8000000.0,0.00020000000000066313,,0.9516641189662659,2.64447887043594e-05,0.0008266689036557582,5.6750896438514196e-05,4.791212179430026e-05,0.0,6.843898230594671e-10,2.716830637033944e-08,0.0
8000000.0,0.00020000000000066313,,0.9632578755244279,2.621079658813993e-05,0.0008263289811154232,5.621131866750357e-05,3.628319992665471e-05,0.0,3.8551808279249377e-10,2.6785059688726367e-08,0.0
