Ek,time,F_P_h
0.0002,1223.4,0.00452193376
0.0002,1223.5,0.00454081013
0.0002,1223.6,0.00455957372
0.0002,1223.7,0.00457826847
0.0002,1223.8,0.00459680578
0.0002,1223.9,0.00461511299
0.0002,1224.0,0.00463328769
0.0002,1224.1,0.00465114445
0.0002,1224.2,0.00466889521
0.0002,1224.3,0.00468657126
0.0002,1224.4,0.00470396488
0.0002,1224.5,0.00472122671
0.0002,1224.6,0.00473820841
0.0002,1224.7,0.0047553282
0.0002,1224.8,0.00477185203
0.0002,1224.9,0.00478838131
0.0002,1225.0,0.00480481943
0.0002,1225.1,0.00482088548
0.0002,1225.2,0.00483690069
0.0002,1225.3,0.00485272065
0.0002,1225.4,0.00486836941
0.0002,1225.5,0.00488381193
0.0002,1225.6,0.00489910727
0.0002,1225.7,0.00491421105
0.0002,1225.8,0.00492915447
0.0002,1225.9,0.00494394969
0.0002,1226.0,0.00495860234
0.0002,1226.1,0.00497294415
0.0002,1226.2,0.00498717257
0.0002,1226.3,0.00500135579
0.0002,1226.4,0.00501522812
0.0002,1226.5,0.00502897923
0.0002,1226.6,0.0050426512
0.0002,1226.7,0.00505601412
0.0002,1226.8,0.0050693538
0.0002,1226.9,0.00508228006
0.0002,1227.0,0.00509538782
0.0002,1227.1,0.00510814986
0.0002,1227.2,0.00512087942
0.0002,1227.3,0.00513340969
0.0002,1227.4,0.00514571162
0.0002,1227.5,0.00515787436
0.0002,1227.6,0.00516990421
0.0002,1227.7,0.00518185037
0.0002,1227.8,0.00519371392
0.0002,1227.9,0.00520533339
0.0002,1228.0,0.00521675604
0.0002,1228.1,0.00522815724
0.0002,1228.2,0.00523950389
0.0002,1228.3,0.00525064537
0.0002,1228.4,0.00526157466
0.0002,1228.5,0.0052725678
0.0002,1228.6,0.00528329261
0.0002,1228.7,0.00529401157
0.0002,1228.8,0.00530447745
0.0002,1228.9,0.00531503451
0.0002,1229.0,0.00532527665
0.0002,1229.1,0.00533560716
0.0002,1229.2,0.00534577308
0.0002,1229.3,0.00535584378
0.0002,1229.4,0.00536584774
0.0002,1229.5,0.00537575822
0.0002,1229.6,0.00538556054
0.0002,1229.7,0.00539538996
0.0002,1229.8,0.00540492782
0.0002,1229.9,0.005414646
0.0002,1230.0,0.00542420071
0.0002,1230.1,0.00543369679
0.0002,1230.2,0.00544321481
0.0002,1230.3,0.00545257239
0.0002,1230.4,0.00546188819
0.0002,1230.5,0.00547131755
0.0002,1230.6,0.00548053116
