case,Ek,k_c,ell,Pi_m,P_m_resolved,chi_m_resolved,V_m_resolved,dV_m_dt,closure_residual
Ek1e-2,0.00999999999999935,6.044049209931916,0.1654519950560205,1.6622316179541493e-05,9.907024554085838e-05,8.987627202121381e-05,0.00130984695569179,-1.0046241489631512e-06,-6.423718510933746e-06
Ek1e-2,0.00999999999999935,6.7141671610819325,0.14893880000432672,1.8130544097305098e-05,0.00010367598492112221,9.315676832874136e-05,0.0013467949187547805,-1.0342462309741164e-06,-6.577081273950125e-06
Ek1e-2,0.00999999999999935,7.458582665553579,0.1340737302032409,1.937792273464677e-05,0.00010799243128603937,9.640395410154123e-05,0.0013808819905119572,-1.061782238340722e-06,-6.727663311807916e-06
Ek1e-2,0.00999999999999935,8.285533267827063,0.12069229193527296,2.0353597171283384e-05,0.00011199847089339431,9.960784922276086e-05,0.0014120920701939544,-1.086985219596591e-06,-6.875990281053356e-06
Ek1e-2,0.00999999999999935,9.204169828313322,0.10864640903559376,2.1057015007271195e-05,0.00011568214533822082,0.00010275681782562221,0.0014404546558588144,-1.1096567107808276e-06,-7.02203078389175e-06
Ek1e-2,0.00999999999999935,10.224657784839339,0.0978027843125229,2.1496390809715148e-05,0.00011903991943919509,0.00010583846831180302,0.001466040357731881,-1.129695026583453e-06,-7.165244655739622e-06
Ek1e-2,0.00999999999999935,11.358289641232473,0.08804142450900657,2.1686991002016544e-05,0.00012207577630673564,0.00010884067628243975,0.0014889556374588719,-1.1471115019190664e-06,-7.304779475801621e-06
Ek1e-2,0.00999999999999935,12.617609927778727,0.0792543124826213,2.164942090288175e-05,0.00012480016963617875,0.00011175254063943731,0.0015093369119706182,-1.1620208301653072e-06,-7.439771075975007e-06
Ek1e-2,0.00999999999999935,14.016554016340919,0.07134421191072855,2.1408004296480424e-05,0.00012722880807197038,0.00011456507269903048,0.0015273440969637516,-1.1746157630170229e-06,-7.569653160523507e-06
Ek1e-2,0.00999999999999935,15.570602326235417,0.06422359129390051,2.0989283561126082e-05,0.0001293812855030885,0.00011727149735279063,0.0015431537845423814,-1.1851364006469335e-06,-7.69435901018127e-06
Ek1e-2,0.00999999999999935,17.296951627277267,0.057813655350865495,2.042066181930365e-05,0.0001312796449351006,0.00011986716361086585,0.0015569524110717883,-1.1938418248031107e-06,-7.814338670265873e-06
Ek1e-2,0.00999999999999935,19.214705335596676,0.0520434730865961,1.9729240589265355e-05,0.00013294701133693577,0.00012234916372330545,0.0015689298497801626,-1.2009884227242917e-06,-7.930404552910743e-06
Ek1e-2,0.00999999999999935,21.34508490800031,0.04684919288492462,1.8940925180594917e-05,0.0001344064259804799,0.00012471580956099153,0.0015792738167584783,-1.2068160294690367e-06,-8.04349273163754e-06
Ek1e-2,0.00999999999999935,23.71166467412259,0.042173335940067364,1.8079836507120995e-05,0.00013567997061637507,0.000126966110581555,0.0015881653426569858,-1.2115407820746182e-06,-8.15443569022634e-06
Ek1e-2,0.00999999999999935,26.34063270496994,0.037964160208320295,1.716799883909129e-05,0.00013678820847943607,0.0001290993590596435,0.0015957754011706553,-1.215352626234578e-06,-8.263796793064126e-06
Ek1e-2,0.00999999999999935,29.261080604574072,0.03417508784155021,1.622523356467393e-05,0.00013774991241202267,0.00013111486118948335,0.0016022626489882875,-1.218415484813389e-06,-8.371766857321252e-06
Ek1e-2,0.00999999999999935,32.50532543152733,0.030764189766581667,1.5269219731399653e-05,0.00013858201198034577,0.00013301176564927666,0.0016077721382832717,-1.220868700915303e-06,-8.478104699415208e-06
Ek1e-2,0.00999999999999935,36.1092673127161,0.027693721706943744,1.4315725428244624e-05,0.00013929967840747948,0.0001347889017868586,0.0016124348167674343,-1.2228290540822692e-06,-8.582119753541464e-06
Ek1e-2,0.00999999999999935,40.11278670652958,0.02492970651269211,1.3378969576718312e-05,0.00013991647753143564,0.00013644462219116594,0.0016163676312889428,-1.2243931013407244e-06,-8.682721135107857e-06
Ek1e-2,0.00999999999999935,44.56018571157506,0.02244155817645611,1.247195414837863e-05,0.00014044454501518921,0.00013797678829575492,0.0016196740797249087,-1.2256397371538606e-06,-8.778557691790475e-06
Ek1e-2,0.00999999999999935,49.50067830432831,0.020201743375152105,1.1606553762649265e-05,0.00014089475897244877,0.0001393830735391189,0.0016224450811316913,-1.2266328320646518e-06,-8.868235497254734e-06
Ek1e-2,0.00999999999999935,54.988934930585394,0.018185476792055306,1.0793256711469773e-05,0.00014127689598521757,0.0001406616162889104,0.001624760042530947,-1.2274237693471872e-06,-8.950553245815423e-06
Ek1e-2,0.00999999999999935,61.085687477049255,0.016370446847728676,1.0040648942420581e-05,0.00014159976113091194,0.00014181184888918392,0.0016266880059216265,-1.2280537260484537e-06,-9.024682974644108e-06
Ek1e-2,0.00999999999999935,67.85840131753955,0.01473656880480512,9.354871997314381e-06,0.00014187128737871594,0.0001428352228575934,0.0016282887785635722,-1.228555619230387e-06,-9.090251856961445e-06
