time,L_peak,L_integral,ell_m,lambda_m_2pi_ell_m,cluster_count_mprime_gt0,mean_radius_mprime_gt0,max_radius_mprime_gt0,cluster_count_mprime_gtsigma,mean_radius_mprime_gtsigma,max_radius_mprime_gtsigma
11.298,1.23076923,0.13484405,0.0860925355,0.540935354,96.0,0.14326632,6.01553088,675.0,0.119499396,0.441829701
11.403,1.23076923,0.135746135,0.0864691601,0.543301756,100.0,0.137610143,6.0129466,669.0,0.119938124,0.441829701
11.501,1.23076923,0.136589052,0.0868187404,0.545498234,92.0,0.143873554,6.02048959,656.0,0.121259886,0.457045799
11.599,1.23076923,0.137437396,0.0871674738,0.54768939,91.0,0.14623601,6.0148074,643.0,0.122258485,0.451572
11.697,1.23076923,0.138293026,0.0875163137,0.549881217,84.0,0.154427637,6.00870598,635.0,0.12258576,0.443234569
11.802,1.23076923,0.139216484,0.0878896799,0.552227146,87.0,0.144450996,6.01532418,633.0,0.122121422,0.455683514
11.9,1.23076923,0.140082335,0.0882368683,0.554408594,87.0,0.147291609,6.00787819,631.0,0.121965124,0.452946651
11.998,1.23076923,0.140950187,0.088582855,0.556582493,91.0,0.139665221,6.00932674,619.0,0.122726368,0.450193151
12.103,1.23076923,0.14188046,0.0889526126,0.558905748,90.0,0.144907739,5.98963791,607.0,0.12328793,0.451572
12.201,1.23076923,0.142747554,0.0892965044,0.561066484,90.0,0.143284549,5.98849605,594.0,0.124451902,0.448810065
12.299,1.23076923,0.143611534,0.0896387344,0.563216779,87.0,0.143145314,5.99793582,587.0,0.124880622,0.455683514
12.397,1.23076923,0.144470941,0.089979453,0.565357577,84.0,0.14604172,5.99275097,579.0,0.126173728,0.459758261
12.502,1.23076923,0.14538633,0.0903435914,0.567645526,83.0,0.143623507,5.99689921,564.0,0.128439115,0.463797211
12.6,1.23076923,0.146236078,0.0906833319,0.569780178,83.0,0.149872691,5.94368773,562.0,0.12853221,0.46780129
12.698,1.23076923,0.147082753,0.0910243771,0.571923029,84.0,0.147022796,5.94577932,568.0,0.127980054,0.466470416
12.803,1.23076923,0.147989404,0.0913938804,0.574244686,83.0,0.15113062,5.93175155,559.0,0.129165996,0.466470416
12.901,1.23076923,0.148838772,0.0917446802,0.576448827,87.0,0.149148613,5.92913075,558.0,0.12885458,0.465135734
12.999,1.23076923,0.149692863,0.0921011799,0.57868878,92.0,0.146613058,5.92031638,547.0,0.130300001,0.462454814
13.097,1.23076923,0.150551285,0.0924622611,0.580957521,90.0,0.143850872,5.9336378,549.0,0.129660927,0.465135734
13.202,1.23076923,0.151476624,0.0928544947,0.583421997,85.0,0.138462136,6.00114818,537.0,0.131428001,0.462454814
13.3,1.23076923,0.152347632,0.0932274256,0.585765191,92.0,0.134940378,5.98994929,534.0,0.131347532,0.462454814
13.398,1.23076923,0.153227573,0.093608872,0.588161889,95.0,0.136928848,5.97976918,524.0,0.133086864,0.463797211
13.503,1.23076923,0.154181276,0.0940280127,0.590795428,97.0,0.134821115,5.97519288,514.0,0.134254046,0.457045799
13.601,1.23076923,0.155081446,0.0944290664,0.593315323,98.0,0.130023323,5.99088333,497.0,0.135813655,0.457045799
13.699,1.23076923,0.155989869,0.0948383078,0.595886662,97.0,0.133262945,5.9793533,497.0,0.135788203,0.455683514
13.797,1.23076923,0.156903874,0.0952530682,0.598492679,98.0,0.131127145,5.98569237,501.0,0.134784447,0.452946651
13.902,1.23076923,0.157888551,0.0957013948,0.601309598,101.0,0.129933337,5.98288738,504.0,0.134316713,0.446031029
14.0,1.23076923,0.158813285,0.0961220733,0.603952799,103.0,0.126413169,5.98569237,507.0,0.133354842,0.447422705
14.098,1.23076923,0.159742385,0.0965437567,0.606602314,103.0,0.12782826,5.98226387,499.0,0.134012362,0.447422705
14.203,1.23076923,0.160741987,0.0969962553,0.609445446,106.0,0.127434164,5.97945727,497.0,0.133059954,0.444634997
14.301,1.23076923,0.161678718,0.0974193595,0.612103888,102.0,0.128905614,5.98278347,494.0,0.132343063,0.482198532
14.399,1.23076923,0.162618876,0.0978434812,0.614768723,98.0,0.131094938,5.98361473,482.0,0.134169291,0.479612999
14.497,1.23076923,0.163562471,0.0982691362,0.617443193,99.0,0.130982054,5.97893739,482.0,0.133562122,0.484770276
14.602,1.23076923,0.164577194,0.0987274842,0.620323078,93.0,0.135217525,5.98236779,478.0,0.134136065,0.509774637
14.7,1.23076923,0.165527209,0.0991580181,0.623028202,91.0,0.137119016,5.98288738,474.0,0.134551758,0.513420271
14.798,1.23076923,0.166480207,0.0995923383,0.625757117,85.0,0.143235222,5.98371863,469.0,0.135559175,0.519439471
14.903,1.23076923,0.167505237,0.100062882,0.628713628,87.0,0.141660034,5.98465364,468.0,0.136035088,0.519439471
15.001,1.23076923,0.168465352,0.100506528,0.631501138,87.0,0.143256449,5.98236779,471.0,0.135159182,0.51583638
15.099,1.23076923,0.169429383,0.100954581,0.634316341,96.0,0.135624207,5.97529693,470.0,0.135490632,0.510992738
15.197,1.23076923,0.17039878,0.101407595,0.637162712,91.0,0.136525623,5.98340692,471.0,0.135047421,0.510992738
15.302,1.23076923,0.171444696,0.101899315,0.640252276,95.0,0.130850935,5.98631552,471.0,0.134835729,0.510992738
15.4,1.23076923,0.17242853,0.102364734,0.643176591,93.0,0.132339372,5.98693861,468.0,0.134595603,0.484770276
15.498,1.23076923,0.173420306,0.102836674,0.64614188,95.0,0.128846807,5.98049691,469.0,0.134438519,0.461108509
15.603,1.23076923,0.174492504,0.103350398,0.649369701,91.0,0.133384634,5.98143242,469.0,0.133789264,0.461108509
15.701,1.23076923,0.175502785,0.103838093,0.65243398,87.0,0.137387124,5.98382252,453.0,0.135806723,0.507329661
15.799,1.23076923,0.176522627,0.104333843,0.655548872,86.0,0.13767643,5.98506915,455.0,0.135268031,0.508553618
15.897,1.23076923,0.177552465,0.104837213,0.658711639,90.0,0.136047412,5.98247172,453.0,0.135694598,0.46780129
16.002,1.23076923,0.178667188,0.105383416,0.66214353,86.0,0.138274715,5.98517303,452.0,0.135496606,0.458404037
16.1,1.23076923,0.179717724,0.105897432,0.665373191,92.0,0.134990824,5.98371863,449.0,0.135094547,0.458404037
16.198,1.23076923,0.18077772,0.106414098,0.668619497,93.0,0.142698284,5.95643504,445.0,0.136151609,0.459758261
16.303,1.23076923,0.181924269,0.106970307,0.672114263,94.0,0.142432021,5.9578961,433.0,0.138276725,0.458404037
16.401,1.23076923,0.183006078,0.107492116,0.675392882,91.0,0.13862736,5.98340692,432.0,0.13800924,0.458404037
16.499,1.23076923,0.184100457,0.108016834,0.678689787,80.0,0.154362215,5.98018504,428.0,0.138662604,0.457045799
16.597,1.23076923,0.185208474,0.108545332,0.682010434,84.0,0.148334075,5.98382252,424.0,0.138134114,0.549677826
16.702,1.23076923,0.186412637,0.109117234,0.685603802,87.0,0.143493937,5.98143242,416.0,0.139637098,0.546274215
16.8,1.23076923,0.187553418,0.10965674,0.688993618,93.0,0.139988396,5.96790517,404.0,0.141730928,0.545134956
16.898,1.23076923,0.188710788,0.110201642,0.692417337,84.0,0.150600454,5.97196656,400.0,0.141427441,0.549677826
17.003,1.23076923,0.189969545,0.110791572,0.696123978,86.0,0.151140939,5.9553912,391.0,0.143168729,0.506102743
17.101,1.23076923,0.19116212,0.11134807,0.699620555,84.0,0.154492118,5.95737433,390.0,0.142920589,0.504872844
17.199,1.23076923,0.192371379,0.111909907,0.703150683,89.0,0.147171171,5.96436221,390.0,0.143376535,0.509774637
17.297,1.23076923,0.193596101,0.112476018,0.706707665,86.0,0.142994377,5.98538077,388.0,0.144585049,0.508553618
17.402,1.23076923,0.19492418,0.113086111,0.710540989,88.0,0.14192306,5.98340692,385.0,0.144557452,0.525389717
17.5,1.23076923,0.196178087,0.113658615,0.714138141,85.0,0.140811631,6.00435882,391.0,0.142786262,0.525389717
17.598,1.23076923,0.197445589,0.114234087,0.71775394,78.0,0.151186917,6.00953365,382.0,0.14475069,0.470451743
17.703,1.23076923,0.198818028,0.114853231,0.721644135,76.0,0.155375328,6.01242961,377.0,0.144977824,0.471771386
17.801,1.23076923,0.200112035,0.115432797,0.725285656,82.0,0.156561768,5.97820947,374.0,0.144950671,0.482198532
17.899,1.23076923,0.201418462,0.116013412,0.728933767,89.0,0.154405979,5.96258994,366.0,0.146391152,0.483486114
17.997,1.23076923,0.202736867,0.116594403,0.732584237,91.0,0.155338159,5.96050424,358.0,0.148429583,0.473087348
18.102,1.23076923,0.20416277,0.117217266,0.736497803,97.0,0.152849342,5.94013032,353.0,0.149999445,0.524205071
