time,A_m,sqrt_A_m
21.9,0.0027747061,0.0526754791
22.0,0.00272284634,0.0521809001
22.1,0.00267223703,0.0516936847
22.2,0.00262284498,0.0512137187
22.3,0.00257463715,0.0507408824
22.4,0.00252758324,0.0502750757
22.5,0.00248165685,0.0498162308
22.6,0.00243683441,0.049364303
22.7,0.0023930937,0.048919257
22.8,0.00235041263,0.0484810544
22.9,0.00230876853,0.0480496465
23.0,0.00226813818,0.0476249743
23.1,0.00222849805,0.0472069703
23.2,0.00218982486,0.0467955646
23.3,0.00215209577,0.0463906862
23.4,0.00211528792,0.0459922594
23.5,0.00207937848,0.0456002027
23.6,0.00204434492,0.0452144326
23.7,0.00201016512,0.044834865
23.8,0.00197681744,0.0444614152
23.9,0.00194428096,0.0440940014
24.0,0.00191253584,0.043732549
24.1,0.00188156372,0.0433769953
24.2,0.00185134768,0.04302729
24.3,0.00182187197,0.0426833922
24.4,0.00179312124,0.0423452624
24.5,0.00176508044,0.0420128604
24.6,0.00173773526,0.041686152
24.7,0.00171107266,0.041365114
24.8,0.00168508054,0.0410497325
24.9,0.00165974746,0.0407399983
25.0,0.00163506266,0.0404359081
25.1,0.00161101607,0.0401374646
25.2,0.00158759775,0.0398446703
25.3,0.00156479657,0.0395575097
25.4,0.00154259896,0.0392759336
25.5,0.00152098999,0.0389998716
25.6,0.00149995651,0.038729272
25.7,0.00147948666,0.0384640957
25.8,0.00145956843,0.0382042985
25.9,0.00144019183,0.0379498594
26.0,0.0014213501,0.0377007971
26.1,0.00140303862,0.0374571571
26.2,0.00138525244,0.0372189795
26.3,0.00136798457,0.0369862754
26.4,0.00135122654,0.0367590334
26.5,0.00133496993,0.0365372404
26.6,0.00131920714,0.0363208912
26.7,0.00130393114,0.0361099868
26.8,0.00128913511,0.0359045277
26.9,0.00127481204,0.0357045101
27.0,0.00126095473,0.0355099244
27.1,0.00124755585,0.0353207566
27.2,0.00123460789,0.0351369874
27.3,0.00122210313,0.0349585916
27.4,0.00121003362,0.0347855375
27.5,0.00119839119,0.0346177872
27.6,0.00118716752,0.0344552975
27.7,0.00117635416,0.0342980197
27.8,0.00116594254,0.0341459008
27.9,0.00115592408,0.0339988835
28.0,0.00114629026,0.0338569086
28.1,0.00113703274,0.033719916
28.2,0.0011281434,0.033587846
28.3,0.00111961433,0.0334606385
28.4,0.00111143772,0.033338232
28.5,0.00110360572,0.0332205617
28.6,0.00109611036,0.0331075575
28.7,0.00108894348,0.0329991436
28.8,0.00108209674,0.0328952388
28.9,0.00107556182,0.0327957591
29.0,0.00106933062,0.0327006211
29.1,0.00106339538,0.0326097437
29.2,0.00105774854,0.0325230463
29.3,0.00105238253,0.0324404459
29.4,0.00104728975,0.0323618564
29.5,0.0010424625,0.0322871879
29.6,0.00103789298,0.0322163464
29.7,0.00103357324,0.0321492338
29.8,0.00102949525,0.0320857483
29.9,0.00102565092,0.0320257852
30.0,0.00102203217,0.0319692378
30.1,0.0010186309,0.0319159975
30.2,0.00101543901,0.0318659538
30.3,0.00101244841,0.0318189945
30.4,0.00100965103,0.0317750064
30.5,0.00100703888,0.0317338759
30.6,0.00100460401,0.0316954888
30.7,0.00100233856,0.0316597309
30.8,0.00100023474,0.0316264879
30.9,0.000998284851,0.0315956461
31.0,0.000996481287,0.0315670918
31.1,0.000994816549,0.0315407126
31.2,0.00099328326,0.0315163967
31.3,0.000991874179,0.031494034
31.4,0.000990582211,0.031473516
31.5,0.000989400428,0.0314547362
31.6,0.000988322091,0.0314375904
31.7,0.000987340672,0.0314219775
31.8,0.000986449881,0.0314077997
31.9,0.000985643688,0.0313949628
32.0,0.000984916348,0.0313833769
32.1,0.000984262403,0.0313729565
32.2,0.000983676686,0.0313636204
32.3,0.000983154317,0.0313552917
32.4,0.000982690686,0.0313478976
32.5,0.000982281443,0.0313413695
32.6,0.000981922492,0.0313356425
32.7,0.000981609987,0.0313306557
32.8,0.000981340325,0.0313263519
32.9,0.000981110149,0.0313226779
33.0,0.00098091634,0.031319584
33.1,0.000980756009,0.0313170243
33.2,0.00098062648,0.0313149562
33.3,0.000980525286,0.0313133404
33.4,0.000980450152,0.0313121407
33.5,0.000980398983,0.0313113236
33.6,0.000980369848,0.0313108583
33.7,0.000980360966,0.0313107165
33.8,0.000980370699,0.0313108719
33.9,0.000980397537,0.0313113005
