time,A_m,sqrt_A_m
371.7,0.00267003413,0.051672373
371.798,0.00266944663,0.0516666878
371.903,0.00266883197,0.0516607392
372.001,0.00266828114,0.0516554077
372.099,0.00266772877,0.0516500607
372.197,0.00266715514,0.0516445074
372.302,0.0026665268,0.0516384237
372.4,0.00266595464,0.0516328833
372.498,0.00266542279,0.0516277327
372.603,0.00266490879,0.0516227546
372.701,0.00266447245,0.0516185282
372.799,0.00266406279,0.0516145598
372.897,0.00266369122,0.0516109603
373.002,0.00266334086,0.051607566
373.1,0.00266305482,0.0516047946
373.198,0.00266278403,0.0516021708
373.303,0.00266249419,0.0515993623
373.401,0.0026622247,0.0515967508
373.499,0.00266195893,0.0515941753
373.597,0.0026617068,0.0515917319
373.702,0.00266145983,0.0515893383
373.8,0.00266128608,0.0515876543
373.898,0.00266118232,0.0515866487
374.003,0.00266110702,0.0515859188
374.101,0.00266103511,0.0515852219
374.199,0.00266098012,0.0515846888
374.297,0.00266097185,0.0515846087
374.402,0.00266100636,0.0515849431
374.5,0.00266105536,0.0515854181
374.598,0.00266113432,0.0515861834
374.703,0.00266128268,0.0515876214
374.801,0.00266147835,0.0515895178
374.899,0.00266170893,0.0515917525
374.997,0.00266195112,0.0515940997
375.102,0.00266221044,0.0515966127
375.2,0.0026624596,0.0515990272
375.298,0.0026627291,0.0516016386
375.403,0.00266304304,0.0516046804
375.501,0.00266335413,0.0516076945
375.599,0.00266367376,0.0516107911
375.697,0.00266400276,0.0516139783
375.802,0.00266437843,0.0516176174
375.9,0.0026647405,0.0516211245
375.998,0.00266508503,0.0516244615
376.103,0.00266542535,0.0516277576
376.201,0.00266575188,0.0516309198
376.299,0.00266609396,0.0516342325
376.397,0.00266643857,0.0516375694
376.502,0.00266681797,0.0516412429
376.6,0.00266717984,0.0516447465
376.698,0.00266752612,0.0516480989
376.803,0.00266785398,0.0516512727
376.901,0.00266813217,0.0516539657
376.999,0.0026684023,0.0516565805
377.097,0.00266867074,0.0516591787
377.202,0.00266895923,0.0516619708
377.3,0.00266922774,0.0516645695
377.398,0.00266949036,0.051667111
377.503,0.00266979311,0.0516700407
377.601,0.00267012454,0.0516732478
377.699,0.00267051025,0.0516769799
377.797,0.00267094128,0.0516811501
377.902,0.00267142904,0.0516858689
378.0,0.00267189312,0.0516903581
378.098,0.00267236691,0.0516949408
378.203,0.0026728822,0.0516999245
378.301,0.00267334902,0.0517044391
378.399,0.00267380059,0.0517088057
378.497,0.00267426024,0.0517132501
378.602,0.00267477976,0.051718273
378.7,0.00267529714,0.0517232747
