time,A_m,sqrt_A_m
34.6,0.00203658744,0.0451285657
34.7,0.00203217846,0.0450796901
34.8,0.00202791543,0.045032382
34.9,0.00202379536,0.0449866131
35.0,0.00201981509,0.044942353
35.1,0.00201597358,0.0448995945
35.2,0.00201226928,0.0448583245
35.3,0.00200869935,0.0448185157
35.4,0.00200526147,0.0447801459
35.5,0.00200195415,0.0447432023
35.6,0.00199877891,0.0447077052
35.7,0.00199574028,0.0446737091
35.8,0.00199284029,0.0446412398
35.9,0.00199007782,0.0446102883
36.0,0.00198745132,0.0445808402
36.1,0.00198496004,0.0445528904
36.2,0.0019826043,0.0445264449
36.3,0.00198038489,0.0445015155
36.4,0.00197830198,0.0444781068
36.5,0.00197635437,0.0444562073
36.6,0.00197453953,0.0444357911
36.7,0.00197285445,0.0444168262
36.8,0.00197129585,0.0443992775
36.9,0.00196985983,0.044383103
37.0,0.00196854187,0.0443682529
37.1,0.00196733672,0.0443546697
37.2,0.00196623914,0.0443422952
37.3,0.00196524491,0.0443310829
37.4,0.00196435063,0.0443209953
37.5,0.00196355258,0.0443119914
37.6,0.00196284652,0.0443040237
37.7,0.00196222798,0.0442970426
37.8,0.00196169264,0.0442909996
37.9,0.00196123663,0.0442858513
38.0,0.0019608566,0.0442815605
38.1,0.00196054954,0.0442780933
38.2,0.00196031276,0.0442754194
38.3,0.00196014377,0.044273511
38.4,0.00196004024,0.0442723417
38.5,0.0019599999,0.0442718862
38.6,0.00196002073,0.0442721213
38.7,0.00196010088,0.0442730265
38.8,0.00196023881,0.0442745843
38.9,0.00196043334,0.0442767811
39.0,0.00196068361,0.0442796071
39.1,0.00196098904,0.0442830559
39.2,0.00196134926,0.0442871229
39.3,0.00196176406,0.0442918058
39.4,0.00196223332,0.0442971028
39.5,0.00196275699,0.0443030133
39.6,0.00196333512,0.0443095376
39.7,0.00196396795,0.044316678
39.8,0.00196465595,0.0443244397
39.9,0.00196539984,0.0443328303
40.0,0.00196620047,0.0443418591
40.1,0.00196705861,0.0443515344
40.2,0.00196797485,0.0443618626
40.3,0.00196894946,0.044372846
