time,F_I,F_C,F_P,F_V,F_B,F_T,F_I_h,F_C_h,F_P_h,F_V_h,F_T_h,F_I_z,F_P_z,F_V_z,F_B_z,F_T_z
1320.0,0.0013589160352839,0.0078368528370258,0.0090010532990394,0.0010289031170513,0.0027206131484621,0.0004641258979577,0.0012722724888977,0.0078368528370258,0.0084531814263616,0.0007125441426788,0.0003375384904739,0.0004177272241323,0.0025668926224746,0.0007104560158192,0.0027206131484621,0.0002953784126659
1330.0,0.0003092050523644,0.0040212336157279,0.004630258056607,0.0003670425976751,0.0018990425838169,0.0002883046734954,0.0002909602447916,0.0040212336157279,0.0040835097617149,0.0002856933644591,0.00022851355316,9.193876325675406e-05,0.0018966727287714,0.0002169488696361,0.0018990425838169,0.0001610955702582
1340.0,2.756284930761921e-05,0.0021505646331679,0.0027110430844542,7.424722356169303e-05,0.0015207698592102,0.0001172973480869,2.6049895289536535e-05,0.0021505646331679,0.0021394414215959,6.71117686714548e-05,0.0001045015493418,8.451944827344534e-06,0.0015218473639482,3.065427871405605e-05,0.0015207698592102,4.881574331448983e-05
1350.0,8.433125666457223e-06,0.0015333327627342,0.0020754457312595,3.0136162148257018e-05,0.0013096589929815,4.3325911736749225e-05,8.299403869380489e-06,0.0015333327627342,0.001529216012002,2.9149761080157733e-05,4.1150618009360725e-05,1.3979449237134283e-06,0.0013092731353444,7.367071864087789e-06,0.0013096589929815,1.2956495007606617e-05
1360.0,3.930723849803508e-06,0.0012078573210074,0.0017192044093066,1.6491952302047537e-05,0.0011582861126226,2.4201365516548063e-05,3.905643528216995e-06,0.0012078573210074,0.0012055743706673,1.6236766378549196e-05,2.364530251469887e-05,4.133196161569175e-07,0.0011573191785648,2.7359492851076887e-06,0.0011582861126226,4.895899203729525e-06
1370.0,2.3197428537311384e-06,0.0010008984065051,0.0014803260715772,1.082008617297663e-05,0.0010417103234124,1.6182069012956132e-05,2.313585060361385e-06,0.0010008984065051,0.0009994193262233,1.0727895311143414e-05,1.5950957723883023e-05,1.5374311448427702e-07,0.001040643453412,1.2988535615729e-06,0.0010417103234124,2.581260007427385e-06
1380.0,1.5355521029235057e-06,0.0008555975904617,0.0013057215490693,7.72405484289322e-06,0.0009487549366914,1.1887084595639358e-05,1.533658998495752e-06,0.0008555975904617,0.0008545050193537,7.693793169120357e-06,1.1764721033161037e-05,6.899014310136787e-08,0.0009479265792317,6.198441295857036e-07,0.0009487549366914,1.608022239699664e-06
1390.0,1.086663249849065e-06,0.0007491884646429,0.0011727157939845,5.879364794525448e-06,0.0008723767559892,9.126211194514114e-06,1.085905843854868e-06,0.0007491884646429,0.000748278781337,5.86377764492484e-06,9.080873222115763e-06,3.582739010417844e-08,0.0008717329560266,3.8156469465632694e-07,0.0008723767559892,8.580147631884589e-07
1400.0,8.103202438237561e-07,0.0006683477297328,0.0010678470906498,4.642150374150663e-06,0.0008076944665532,7.2861281272094895e-06,8.099710083148883e-07,0.0006683477297328,0.0006676322302888,4.635138871066107e-06,7.257671450967289e-06,2.0615396568259763e-08,0.0008072594914238,2.236567074472195e-07,0.0008076944665532,6.065483087935083e-07
1410.0,6.269816383011102e-07,0.0006054779650386,0.0009827866248582,3.755807641362593e-06,0.0007514846081257,5.948512023417018e-06,6.267804531232611e-07,0.0006054779650386,0.0006050001108505,3.751496860060428e-06,5.934382073678388e-06,1.3431549774573025e-08,0.000750916482504,1.544590449618617e-07,0.0007514846081257,3.858283624115097e-07
