case,time,kinetic_energy,lc_w_z05_raw,lc_w_z_weighted_raw,convective_wavelength_z05_2pi_lc,convective_wavelength_z_weighted_2pi_lc,Lm_raw,MSE_integral_wavelength_2pi_Lm,mprime2_z025,mprime2_z050,mprime2_z075,mprime2_z_weighted
Ek7e-3_AR16,6.5,1.42339666e-10,0.064396959,0.0604075387,0.4046180266158462,0.37955175960272225,0.0691207277,0.434298340706201,5.52501551e-10,1.11564343e-09,6.60909251e-10,5.50701241e-10
Ek7e-3_AR16,6.6,1.47705945e-10,0.0650258358,0.0609564896,0.4085693760856323,0.3830009198319652,0.0696042438,0.4373363619615058,5.62900707e-10,1.15179504e-09,6.97014542e-10,5.7149699e-10
Ek7e-3_AR16,6.7,1.53507598e-10,0.0656436956,0.0615047087,0.41245150370288924,0.3864454820262005,0.0700777981,0.44031179138141757,5.73236038e-10,1.18937357e-09,7.35503751e-10,5.93271906e-10
Ek7e-3_AR16,6.8,1.59776168e-10,0.0662500626,0.062052451,0.4162614199280479,0.38988704839768124,0.0705412599,0.4432238077536165,5.83499351e-10,1.22845521e-09,7.76553546e-10,6.16092074e-10
Ek7e-3_AR16,6.9,1.66545624e-10,0.0668444472,0.0626000122,0.41999604851358163,0.39332747688430286,0.0709944914,0.44607154525516746,5.93682709e-10,1.26912131e-09,8.20353251e-10,6.400286e-10
Ek7e-3_AR16,7.0,1.738529005e-10,0.0674265596,0.0631477798,0.42365356859238873,0.3967692022203719,0.0714373596,0.4488541682224246,6.03778437e-10,1.31145882e-09,8.67106181e-10,6.65158144e-10
Ek7e-3_AR16,7.1,1.817373405e-10,0.0679959639,0.0636960581,0.42723124132399354,0.40021413637917724,0.0718697281,0.4515708196289119,6.13779128e-10,1.3555607e-09,9.17030173e-10,6.91563168e-10
Ek7e-3_AR16,7.2,1.90241474e-10,0.0685524585,0.0642452263,0.4307278000182383,0.40366466194458756,0.0722914714,0.45422071093487326,6.23677677e-10,1.40152623e-09,9.70359142e-10,7.19332456e-10
Ek7e-3_AR16,7.3,1.994103455e-10,0.0690956731,0.0647956054,0.4341409180116038,0.4071227958190862,0.0727024699,0.4568030906713461,6.33467258e-10,1.44946157e-09,1.02734414e-09,7.48561579e-10
Ek7e-3_AR16,7.4,2.092929175e-10,0.0696252485,0.065347544,0.4374683383839275,0.41059072832107146,0.0731026167,0.45931728716582104,6.43141371e-10,1.49948021e-09,1.08825446e-09,7.79353313e-10
Ek7e-3_AR16,7.5,2.199410475e-10,0.0701409263,0.0659013572,0.44070843756012623,0.41407043928223364,0.0734918119,0.46176267272808585,6.5269382e-10,1.55170335e-09,1.15337932e-09,8.11818249e-10
Ek7e-3_AR16,7.6,2.314125405e-10,0.0706424593,0.0664574211,0.4438596623367919,0.4175642918085666,0.073869967,0.46413869129624086,6.62118748e-10,1.60626057e-09,1.22302907e-09,8.46075316e-10
Ek7e-3_AR16,7.7,2.43767156e-10,0.0711296677,0.067016087,0.4469208829972064,0.4210744931830689,0.0742370117,0.466444901162359,6.71410637e-10,1.66329041e-09,1.29753738e-09,8.82252519e-10
Ek7e-3_AR16,7.8,2.570697735e-10,0.0716023138,0.0675777204,0.4498906060282221,0.4246033399099702,0.0745928913,0.468680958636204,6.80564319e-10,1.72294081e-09,1.37726259e-09,9.20487415e-10
Ek7e-3_AR16,7.9,2.713911445e-10,0.0720602458,0.0681426646,0.4527678776423095,0.4281529890067865,0.0749375659,0.470846613018682,6.89574977e-10,1.78537e-09,1.46258953e-09,9.60927938e-10
Ek7e-3_AR16,8.0,2.868051655e-10,0.072503477,0.0687113522,0.45555278140583305,0.43172615857948177,0.0752710142,0.472941730477946,6.98438172e-10,1.850747e-09,1.55393196e-09,1.00373316e-09
Ek7e-3_AR16,8.1,3.033933865e-10,0.0729318802,0.069284176,0.45824451809762173,0.43532531666324453,0.0755932374,0.4749663185538184,7.07149852e-10,1.91925257e-09,1.65173446e-09,1.04907407e-09
Ek7e-3_AR16,8.2,3.21242615e-10,0.0733454847,0.069861537,0.4608432718150052,0.43895298281538303,0.0759042543,0.47692049537018294,7.15706347e-10,1.99107994e-09,1.75647486e-09,1.09713449e-09
Ek7e-3_AR16,8.3,3.40445075e-10,0.0737443225,0.0704438484,0.463349243619913,0.4426117532480662,0.0762041061,0.4788045197942743,7.24104389e-10,2.06643563e-09,1.86866679e-09,1.148112e-09
Ek7e-3_AR16,8.4,3.611023275e-10,0.0741284052,0.0710315654,0.46576250639729483,0.4463044880672458,0.0764928554,0.4806187851534927,7.32341121e-10,2.14554056e-09,1.98886234e-09,1.20221901e-09
Ek7e-3_AR16,8.5,3.833207515e-10,0.0744978802,0.0716251336,0.46808398628866504,0.4500339870602949,0.076770587,0.4823638242619522,7.40414122e-10,2.22863107e-09,2.11765492e-09,1.25968383e-09
Ek7e-3_AR16,8.6,4.07216829e-10,0.0748529782,0.0722250347,0.4703151328248739,0.45380327683757576,0.0770374049,0.4840402905709246,7.48321385e-10,2.31595981e-09,2.25568253e-09,1.32075182e-09
Ek7e-3_AR16,8.7,4.32914088e-10,0.0751938229,0.0728317473,0.4724567232359439,0.4576153645315765,0.0772934359,0.48564898078830715,7.56061352e-10,2.40779702e-09,2.40363131e-09,1.3856867e-09
Ek7e-3_AR16,8.8,4.60547729e-10,0.0755206402,0.0734457584,0.474510176893436,0.4614733100535417,0.077538824,0.4871907996927839,7.63632919e-10,2.50443188e-09,2.56223887e-09,1.45477193e-09
Ek7e-3_AR16,8.9,4.902598945e-10,0.0758337078,0.0740676102,0.47647723863790997,0.4653805201465448,0.0777737383,0.4886668097709903,7.71035436e-10,2.60617388e-09,2.73229826e-09,1.52831213e-09
Ek7e-3_AR16,9.0,5.22205445e-10,0.0761332771,0.0746977934,0.478359488062152,0.4693400779696163,0.0779983616,0.4900781595892004,7.78268729e-10,2.71335425e-09,2.91466229e-09,1.60663477e-09
Ek7e-3_AR16,9.1,5.5654935e-10,0.0764196645,0.0753368958,0.4801589131659934,0.47335567677907947,0.0782128955,0.4914261158375724,7.85333097e-10,2.82632725e-09,3.1102478e-09,1.6900916e-09
Ek7e-3_AR16,9.2,5.9347176e-10,0.0766931678,0.0759854311,0.48187738508201855,0.4774305442472268,0.0784175596,0.49271205830359954,7.92229342e-10,2.94547226e-09,3.32004088e-09,1.77906081e-09
Ek7e-3_AR16,9.3,6.3316288e-10,0.0769542852,0.0766440875,0.4835180340931475,0.4815690044621866,0.0786125869,0.49393745096945846,7.98958766e-10,3.07119551e-09,3.54510203e-09,1.87394888e-09
Ek7e-3_AR16,9.4,6.7582877e-10,0.0772032787,0.0773133528,0.48508250639393075,0.4857741223617517,0.078798229,0.49510387468457234,8.05523192e-10,3.20393171e-09,3.78657138e-09,1.9751924e-09
